tracking_id	class_code	nearest_ref_id	gene_id	gene_short_name	tss_id	locus	length	coverage	FPKM	FPKM_conf_lo	FPKM_conf_hi	FPKM_status	TPM
CUFF.3912	-	-	CUFF.3912	-	-	ENSSTOT00000009714	2850-3808	-	4.18655	1.63422	6.53687	OK	1.88605519
CUFF.9667	-	-	CUFF.9667	-	-	ENSSTOT00000008027	4575-5659	-	4.29952	1.73311	6.6436	OK	1.936948564
CUFF.11155	-	-	CUFF.11155	-	-	ENSSTOT00000006942	834-2015	-	4.51496	2.12102	6.89332	OK	2.034005026
CUFF.2943	-	-	CUFF.2943	-	-	ENSSTOT00000023746	63-961	-	4.5517	1.74341	7.32231	OK	2.050556523
CUFF.4334	-	-	CUFF.4334	-	-	ENSSTOT00000027054	136-1150	-	4.6739	1.85276	7.41103	OK	2.105608043
CUFF.8850	-	-	CUFF.8850	-	-	ENSSTOT00000015571	774-1653	-	4.68099	1.78109	7.48058	OK	2.108802113
CUFF.834	-	-	CUFF.834	-	-	ENSSTOT00000023292	1690-2889	-	4.74941	2.35033	7.05098	OK	2.139625558
CUFF.4854	-	-	CUFF.4854	-	-	ENSSTOT00000019890	1320-2316	-	4.78094	1.88624	7.54496	OK	2.153829932
CUFF.6570	-	-	CUFF.6570	-	-	ENSSTOT00000026751	7000-7989	-	4.82391	1.89959	7.59836	OK	2.173188065
CUFF.8285	-	-	CUFF.8285	-	-	ENSSTOT00000021737	58-1491	-	4.86479	2.62204	6.99212	OK	2.191604646
CUFF.1162	-	-	CUFF.1162	-	-	ENSSTOT00000016227	683-1590	-	4.94221	2.07133	7.59487	OK	2.226482622
CUFF.1766	-	-	CUFF.1766	-	-	ENSSTOT00000000285	286-1883	-	4.96683	2.94098	6.86228	OK	2.237574017
CUFF.3513	-	-	CUFF.3513	-	-	ENSSTOT00000028911	530-1359	-	5.05915	1.88852	7.93176	OK	2.279164495
CUFF.4624	-	-	CUFF.4624	-	-	ENSSTOT00000029867	1089-2041	-	5.06448	1.97342	7.89368	OK	2.281565678
CUFF.1579	-	-	CUFF.1579	-	-	ENSSTOT00000023058	463-1471	-	5.10146	2.48505	7.76577	OK	2.298225296
CUFF.7173	-	-	CUFF.7173	-	-	ENSSTOT00000009645	0-1004	-	5.12716	2.49495	7.79671	OK	2.309803234
CUFF.7316	-	-	CUFF.7316	-	-	ENSSTOT00000020993	278-1282	-	5.12716	2.49495	7.79671	OK	2.309803234
CUFF.1059	-	-	CUFF.1059	-	-	ENSSTOT00000011192	2173-3052	-	5.14909	2.13731	7.8368	OK	2.319682775
CUFF.3372	-	-	CUFF.3372	-	-	ENSSTOT00000006614	1199-2320	-	5.1561	2.51387	7.5416	OK	2.322840804
CUFF.2899	-	-	CUFF.2899	-	-	ENSSTOT00000008731	3480-4836	-	5.19168	2.77094	7.38916	OK	2.338869716
CUFF.3023	-	-	CUFF.3023	-	-	ENSSTOT00000006674	4614-5424	-	5.21938	1.93281	8.50438	OK	2.351348662
CUFF.10838	-	-	CUFF.10838	-	-	ENSSTOT00000015735	3616-4421	-	5.26325	1.94482	8.5572	OK	2.371112248
CUFF.11201	-	-	CUFF.11201	-	-	ENSSTOT00000014076	150-953	-	5.281	1.94966	8.57852	OK	2.379108684
CUFF.45	-	-	CUFF.45	-	-	ENSSTOT00000028241	2141-2939	-	5.32592	1.96188	8.63227	OK	2.399345298
CUFF.12000	-	-	CUFF.12000	-	-	ENSSTOT00000010017	66-1152	-	5.36212	2.59488	8.07297	OK	2.415653523
CUFF.11447	-	-	CUFF.11447	-	-	ENSSTOT00000027382	451-1415	-	5.39919	2.59847	8.12022	OK	2.432353686
CUFF.3323	-	-	CUFF.3323	-	-	ENSSTOT00000000343	1445-3211	-	5.43356	3.36874	7.4467	OK	2.447837489
CUFF.6390	-	-	CUFF.6390	-	-	ENSSTOT00000000579	136-1267	-	5.44011	2.76849	8.02861	OK	2.450788287
CUFF.4959	-	-	CUFF.4959	-	-	ENSSTOT00000029737	741-1584	-	5.44197	2.22858	8.5429	OK	2.451626223
CUFF.4868	-	-	CUFF.4868	-	-	ENSSTOT00000013726	3238-4079	-	5.45922	2.23388	8.56322	OK	2.459397407
CUFF.6868	-	-	CUFF.6868	-	-	ENSSTOT00000028332	2934-3889	-	5.46443	2.62296	8.19675	OK	2.46174453
CUFF.1106	-	-	CUFF.1106	-	-	ENSSTOT00000009817	3322-4506	-	5.46557	2.90902	7.93368	OK	2.462258104
