tracking_id	class_code	nearest_ref_id	gene_id	gene_short_name	tss_id	locus	length1	length	coverage	FPKM	FPKM_conf_lo	FPKM_conf_hi	FPKM_status	TPM
CUFF.3222	-	-	CUFF.3222	-	-	ENSMEUT00000004929	4351-5739	ENSMEUT00000004929:4351-5739	-	10.2812	4.75909	15.0704	OK	4.901945937
CUFF.8260	-	-	CUFF.8260	-	-	ENSMEUT00000012411	23-1245	ENSMEUT00000012411:23-1245	-	10.8798	4.50465	17.1177	OK	5.187350835
CUFF.7800	-	-	CUFF.7800	-	-	ENSMEUT00000011773	1002-2222	ENSMEUT00000011773:1002-2222	-	13.0816	5.41444	19.8529	OK	6.237141187
CUFF.8577	-	-	CUFF.8577	-	-	ENSMEUT00000012982	9413-10621	ENSMEUT00000012982:9413-10621	-	13.2389	5.46823	20.9615	OK	6.312139834
CUFF.7837	-	-	CUFF.7837	-	-	ENSMEUT00000011815	29-1150	ENSMEUT00000011815:29-1150	-	13.2947	5.89261	20.6241	OK	6.338744567
CUFF.4696	-	-	CUFF.4696	-	-	ENSMEUT00000007132	3-1037	ENSMEUT00000007132:3-1037	-	13.3623	5.32368	21.2947	OK	6.370975391
CUFF.6108	-	-	CUFF.6108	-	-	ENSMEUT00000009208	33-1229	ENSMEUT00000009208:33-1229	-	13.4	5.52309	21.1718	OK	6.388950274
CUFF.4467	-	-	CUFF.4467	-	-	ENSMEUT00000006786	366-1639	ENSMEUT00000006786:366-1639	-	13.4651	6.05385	20.7561	OK	6.419989129
CUFF.3507	-	-	CUFF.3507	-	-	ENSMEUT00000005332	265-1694	ENSMEUT00000005332:265-1694	-	13.5482	6.93382	20.031	OK	6.459610157
CUFF.10892	-	-	CUFF.10892	-	-	ENSMEUT00000016346	89-1186	ENSMEUT00000016346:89-1186	-	13.6545	6.02153	21.0753	OK	6.51029265
CUFF.7441	-	-	CUFF.7441	-	-	ENSMEUT00000011167	11-1106	ENSMEUT00000011167:11-1106	-	13.6853	6.03253	21.1138	OK	6.5249777
CUFF.184	-	-	CUFF.184	-	-	ENSMEUT00000000308	145-1156	ENSMEUT00000000308:145-1156	-	13.7461	5.44479	21.7791	OK	6.55396637
CUFF.7345	-	-	CUFF.7345	-	-	ENSMEUT00000011032	26-1194	ENSMEUT00000011032:26-1194	-	13.7917	5.65549	21.6794	OK	6.575707872
