tracking_id	class_code	nearest_ref_id	gene_id	gene_short_name	tss_id	locus	length1	length	coverage	FPKM	FPKM_conf_lo	FPKM_conf_hi	FPKM_status	TPM
CUFF.18082	-	-	CUFF.18082	-	-	ENSMMUT00000013072	858-2245	ENSMMUT00000013072:858-2245	-	0.361288	0.15351	0.562869	OK	0.245707864
CUFF.2065	-	-	CUFF.2065	-	-	ENSMMUT00000000939	171-1488	ENSMMUT00000000939:171-1488	-	0.384099	0.161669	0.592786	OK	0.261221366
CUFF.7692	-	-	CUFF.7692	-	-	ENSMMUT00000022499	9-1132	ENSMMUT00000022499:9-1132	-	0.387972	0.157998	0.600392	OK	0.263855349
CUFF.15964	-	-	CUFF.15964	-	-	ENSMMUT00000013979	565-1686	ENSMMUT00000013979:565-1686	-	0.388822	0.15828	0.601463	OK	0.264433425
CUFF.475	-	-	CUFF.475	-	-	ENSMMUT00000048166	132-1328	ENSMMUT00000048166:132-1328	-	0.395226	0.178025	0.593417	OK	0.268788712
CUFF.18022	-	-	CUFF.18022	-	-	ENSMMUT00000041693	1206-2300	ENSMMUT00000041693:1206-2300	-	0.400676	0.162186	0.616307	OK	0.272495195
CUFF.16183	-	-	CUFF.16183	-	-	ENSMMUT00000019994	21-1197	ENSMMUT00000019994:21-1197	-	0.403395	0.181053	0.603509	OK	0.274344356
CUFF.15296	-	-	CUFF.15296	-	-	ENSMMUT00000006113	1312-2456	ENSMMUT00000006113:1312-2456	-	0.417191	0.186117	0.62039	OK	0.283726859
CUFF.2390	-	-	CUFF.2390	-	-	ENSMMUT00000047350	5513-6652	ENSMMUT00000047350:5513-6652	-	0.419432	0.186934	0.623114	OK	0.285250938
CUFF.7007	-	-	CUFF.7007	-	-	ENSMMUT00000031322	2334-3544	ENSMMUT00000031322:2334-3544	-	0.42513	0.175965	0.645206	OK	0.289126083
CUFF.14054	-	-	CUFF.14054	-	-	ENSMMUT00000002638	2533-3567	ENSMMUT00000002638:2533-3567	-	0.429793	0.171597	0.686389	OK	0.292297336
CUFF.19423	-	-	CUFF.19423	-	-	ENSMMUT00000013959	228-1906	ENSMMUT00000013959:228-1906	-	0.434627	0.232628	0.63444	OK	0.295584885
CUFF.14298	-	-	CUFF.14298	-	-	ENSMMUT00000042925	11-1524	ENSMMUT00000042925:11-1524	-	0.435194	0.234543	0.633266	OK	0.295970495
