tracking_id	class_code	nearest_ref_id	gene_id	gene_short_name	tss_id	locus	length1	length	coverage	FPKM	FPKM_conf_lo	FPKM_conf_hi	FPKM_status	TPM
CUFF.8155	-	-	CUFF.8155	-	-	ENSBTAT00000007111	8457-10084	ENSBTAT00000007111:8457-10084	-	0.790108	0.343985	1.16955	OK	60.03130319
CUFF.1807	-	-	CUFF.1807	-	-	ENSBTAT00000003470	1146-2872	ENSBTAT00000003470:1146-2872	-	0.81235	0.389106	1.23217	OK	61.7212193
CUFF.11922	-	-	CUFF.11922	-	-	ENSBTAT00000048409	67-1780	ENSBTAT00000048409:67-1780	-	0.819378	0.392058	1.24152	OK	62.25519694
CUFF.8867	-	-	CUFF.8867	-	-	ENSBTAT00000009855	300-1722	ENSBTAT00000009855:300-1722	-	0.923784	0.393575	1.41687	OK	70.18781911
CUFF.10006	-	-	CUFF.10006	-	-	ENSBTAT00000010571	72-1484	ENSBTAT00000010571:72-1484	-	0.931471	0.396362	1.4269	OK	70.77186664
CUFF.5365	-	-	CUFF.5365	-	-	ENSBTAT00000065956	664-2196	ENSBTAT00000065956:664-2196	-	0.93159	0.438379	1.3882	OK	70.7809081
CUFF.11551	-	-	CUFF.11551	-	-	ENSBTAT00000060943	838-2362	ENSBTAT00000060943:838-2362	-	0.937263	0.44068	1.39549	OK	71.21193472
CUFF.1025	-	-	CUFF.1025	-	-	ENSBTAT00000007743	354-1853	ENSBTAT00000007743:354-1853	-	0.955445	0.448029	1.41876	OK	72.5933777
CUFF.5132	-	-	CUFF.5132	-	-	ENSBTAT00000011517	28-1368	ENSBTAT00000011517:28-1368	-	0.990839	0.417659	1.50357	OK	75.28256443
CUFF.13004	-	-	CUFF.13004	-	-	ENSBTAT00000000923	821-2714	ENSBTAT00000000923:821-2714	-	0.99781	0.532168	1.47824	OK	75.81221128
CUFF.4464	-	-	CUFF.4464	-	-	ENSBTAT00000015967	206-2198	ENSBTAT00000015967:206-2198	-	1.00519	0.561911	1.46097	OK	76.37293338
CUFF.7248	-	-	CUFF.7248	-	-	ENSBTAT00000033880	1744-3047	ENSBTAT00000033880:1744-3047	-	1.02439	0.429519	1.54627	OK	77.83172259
CUFF.2233	-	-	CUFF.2233	-	-	ENSBTAT00000046733	3110-4845	ENSBTAT00000046733:3110-4845	-	1.0278	0.516116	1.48383	OK	78.09080963
CUFF.3536	-	-	CUFF.3536	-	-	ENSBTAT00000024989	0-1610	ENSBTAT00000024989:0-1610	-	1.03962	0.486664	1.52951	OK	78.98887673
