tracking_id	class_code	nearest_ref_id	gene_id	gene_short_name	tss_id	locus	length1	length	coverage	FPKM	FPKM_conf_lo	FPKM_conf_hi	FPKM_status	TPM
CUFF.11550	-	-	CUFF.11550	-	-	ENSMMUT00000033049	190-1887	ENSMMUT00000033049:190-1887	-	1.01514	0.485163	1.53635	OK	0.659427661
CUFF.1889	-	-	CUFF.1889	-	-	ENSMMUT00000047354	180-1714	ENSMMUT00000047354:180-1714	-	1.03648	0.447263	1.61015	OK	0.673289972
CUFF.16243	-	-	CUFF.16243	-	-	ENSMMUT00000040872	524-2018	ENSMMUT00000040872:524-2018	-	1.06877	0.459238	1.65326	OK	0.694265324
CUFF.21789	-	-	CUFF.21789	-	-	ENSMMUT00000007510	20-1481	ENSMMUT00000007510:20-1481	-	1.09696	0.469611	1.6906	OK	0.712577346
CUFF.14612	-	-	CUFF.14612	-	-	ENSMMUT00000014152	17-1452	ENSMMUT00000014152:17-1452	-	1.12025	0.47812	1.72123	OK	0.727706363
CUFF.12143	-	-	CUFF.12143	-	-	ENSMMUT00000006543	1253-2788	ENSMMUT00000006543:1253-2788	-	1.13927	0.536366	1.69849	OK	0.740061618
CUFF.172	-	-	CUFF.172	-	-	ENSMMUT00000006165	382-1757	ENSMMUT00000006165:382-1757	-	1.17795	0.498983	1.79634	OK	0.765187869
CUFF.379	-	-	CUFF.379	-	-	ENSMMUT00000048145	599-2201	ENSMMUT00000048145:599-2201	-	1.18301	0.513934	1.79877	OK	0.768474809
CUFF.10495	-	-	CUFF.10495	-	-	ENSMMUT00000019266	2-1364	ENSMMUT00000019266:2-1364	-	1.19124	0.503746	1.81349	OK	0.773820958
CUFF.13494	-	-	CUFF.13494	-	-	ENSMMUT00000003358	6239-8395	ENSMMUT00000003358:6239-8395	-	1.19879	0.636458	1.71844	OK	0.778725383
CUFF.9736	-	-	CUFF.9736	-	-	ENSMMUT00000002229	1009-2330	ENSMMUT00000002229:1009-2330	-	1.23521	0.519381	1.86977	OK	0.802383554
CUFF.1966	-	-	CUFF.1966	-	-	ENSMMUT00000029281	48-1559	ENSMMUT00000029281:48-1559	-	1.26576	0.544886	1.9071	OK	0.822228615
CUFF.5913	-	-	CUFF.5913	-	-	ENSMMUT00000011100	1155-3610	ENSMMUT00000011100:1155-3610	-	1.28363	0.78252	1.78862	OK	0.833836839
CUFF.14852	-	-	CUFF.14852	-	-	ENSMMUT00000010086	7391-9202	ENSMMUT00000010086:7391-9202	-	1.28571	0.681935	1.89426	OK	0.835187992
CUFF.11421	-	-	CUFF.11421	-	-	ENSMMUT00000021591	1188-3199	ENSMMUT00000021591:1188-3199	-	1.29532	0.682349	1.84234	OK	0.841430579
CUFF.16844	-	-	CUFF.16844	-	-	ENSMMUT00000007645	18-1392	ENSMMUT00000007645:18-1392	-	1.29686	0.599216	1.89752	OK	0.842430952
CUFF.885	-	-	CUFF.885	-	-	ENSMMUT00000016258	184-2079	ENSMMUT00000016258:184-2079	-	1.30305	0.724118	1.88271	OK	0.846451931
CUFF.5363	-	-	CUFF.5363	-	-	ENSMMUT00000045777	880-2138	ENSMMUT00000045777:880-2138	-	1.30947	0.545391	2.07249	OK	0.850622317
CUFF.16045	-	-	CUFF.16045	-	-	ENSMMUT00000030893	85-2070	ENSMMUT00000030893:85-2070	-	1.31429	0.760415	1.9356	OK	0.853753355
CUFF.17188	-	-	CUFF.17188	-	-	ENSMMUT00000026126	428-1679	ENSMMUT00000026126:428-1679	-	1.31827	0.548443	2.08408	OK	0.856338734
CUFF.18456	-	-	CUFF.18456	-	-	ENSMMUT00000026936	4021-5583	ENSMMUT00000026936:4021-5583	-	1.31951	0.614944	2.02053	OK	0.857144229
CUFF.17680	-	-	CUFF.17680	-	-	ENSMMUT00000026792	15389-17047	ENSMMUT00000026792:15389-17047	-	1.3268	0.662101	1.9863	OK	0.861879761
CUFF.20468	-	-	CUFF.20468	-	-	ENSMMUT00000022742	20-1471	ENSMMUT00000022742:20-1471	-	1.32697	0.567417	2.08053	OK	0.861990192
CUFF.18551	-	-	CUFF.18551	-	-	ENSMMUT00000018477	519-1760	ENSMMUT00000018477:519-1760	-	1.33106	0.552862	2.10088	OK	0.864647026
CUFF.18689	-	-	CUFF.18689	-	-	ENSMMUT00000004134	387-1624	ENSMMUT00000004134:387-1624	-	1.33625	0.55465	2.10767	OK	0.868018413
CUFF.7364	-	-	CUFF.7364	-	-	ENSMMUT00000028136	707-2249	ENSMMUT00000028136:707-2249	-	1.33933	0.62292	2.04674	OK	0.870019159
CUFF.18565	-	-	CUFF.18565	-	-	ENSMMUT00000039698	1065-3423	ENSMMUT00000039698:1065-3423	-	1.3416	0.81471	1.86219	OK	0.871493735
CUFF.1420	-	-	CUFF.1420	-	-	ENSMMUT00000010424	830-2061	ENSMMUT00000010424:830-2061	-	1.3441	0.557353	2.11794	OK	0.873117717
CUFF.17092	-	-	CUFF.17092	-	-	ENSMMUT00000040480	4184-5407	ENSMMUT00000040480:4184-5407	-	1.35471	0.560999	2.1318	OK	0.880009897
CUFF.15497	-	-	CUFF.15497	-	-	ENSMMUT00000026202	3386-4707	ENSMMUT00000026202:3386-4707	-	1.35873	0.623257	2.07752	OK	0.88262126
CUFF.19703	-	-	CUFF.19703	-	-	ENSMMUT00000008077	158-1475	ENSMMUT00000008077:158-1475	-	1.36364	0.62515	2.08383	OK	0.885810761
CUFF.7524	-	-	CUFF.7524	-	-	ENSMMUT00000010845	383-1696	ENSMMUT00000010845:383-1696	-	1.36858	0.627054	2.09018	OK	0.889019749
CUFF.11610	-	-	CUFF.11610	-	-	ENSMMUT00000018184	8291-9902	ENSMMUT00000018184:8291-9902	-	1.37131	0.681417	2.04425	OK	0.890793138
CUFF.12638	-	-	CUFF.12638	-	-	ENSMMUT00000008201	692-2402	ENSMMUT00000008201:692-2402	-	1.37229	0.722213	2.00615	OK	0.891429739
CUFF.3574	-	-	CUFF.3574	-	-	ENSMMUT00000028802	962-2369	ENSMMUT00000028802:962-2369	-	1.37575	0.585162	2.14559	OK	0.89367733
CUFF.17595	-	-	CUFF.17595	-	-	ENSMMUT00000015746	0-2498	ENSMMUT00000015746:0-2498	-	1.37946	0.823982	1.92262	OK	0.896087319
CUFF.13580	-	-	CUFF.13580	-	-	ENSMMUT00000005283	1653-2857	ENSMMUT00000005283:1653-2857	-	1.38061	0.569852	2.16544	OK	0.896834351
CUFF.7494	-	-	CUFF.7494	-	-	ENSMMUT00000044754	348-1938	ENSMMUT00000044754:348-1938	-	1.39218	0.690417	2.07125	OK	0.90435014
CUFF.1551	-	-	CUFF.1551	-	-	ENSMMUT00000007219	2-1873	ENSMMUT00000007219:2-1873	-	1.4045	0.806747	2.05354	OK	0.912353124
CUFF.6458	-	-	CUFF.6458	-	-	ENSMMUT00000008650	1224-3188	ENSMMUT00000008650:1224-3188	-	1.40826	0.768546	2.02617	OK	0.914795593
