tracking_id	class_code	nearest_ref_id	gene_id	gene_short_name	tss_id	locus	length1	length	coverage	FPKM	FPKM_conf_lo	FPKM_conf_hi	FPKM_status	TPM
CUFF.3091	-	-	CUFF.3091	-	-	ENSMUST00000106113	13-788	ENSMUST00000106113:13-788	-	63.9358	29.0269	90.7091	OK	8.900565588
CUFF.1984	-	-	CUFF.1984	-	-	ENSMUST00000048781	28-658	ENSMUST00000048781:28-658	-	65.8918	22.3173	107.123	OK	9.172862271
CUFF.2774	-	-	CUFF.2774	-	-	ENSMUST00000101613	92-912	ENSMUST00000101613:92-912	-	68.3895	30.8632	102.877	OK	9.520569544
CUFF.1438	-	-	CUFF.1438	-	-	ENSMUST00000049149	8780-9827	ENSMUST00000049149:8780-9827	-	69.9865	37.6005	102.059	OK	9.742889485
CUFF.2766	-	-	CUFF.2766	-	-	ENSMUST00000035158	1006-1691	ENSMUST00000035158:1006-1691	-	70.043	24.6305	110.837	OK	9.750754905
CUFF.389	-	-	CUFF.389	-	-	ENSMUST00000018909	8-728	ENSMUST00000018909:8-728	-	70.7406	31.2442	97.6383	OK	9.847868487
CUFF.3153	-	-	CUFF.3153	-	-	ENSMUST00000015501	39-1669	ENSMUST00000015501:39-1669	-	70.952	44.8537	96.608	OK	9.877297689
CUFF.32	-	-	CUFF.32	-	-	ENSMUST00000003319	22-739	ENSMUST00000003319:22-739	-	71.1537	31.375	98.0468	OK	9.905376544
CUFF.1818	-	-	CUFF.1818	-	-	ENSMUST00000071648	197-950	ENSMUST00000071648:197-950	-	71.6093	29.875	108.297	OK	9.968801068
CUFF.1401	-	-	CUFF.1401	-	-	ENSMUST00000079970	352-1064	ENSMUST00000079970:352-1064	-	71.853	31.5953	98.7353	OK	10.00272679
CUFF.2971	-	-	CUFF.2971	-	-	ENSMUST00000168206	559-1528	ENSMUST00000168206:559-1528	-	73.4431	37.7253	104.47	OK	10.22408617
CUFF.2527	-	-	CUFF.2527	-	-	ENSMUST00000065086	110-693	ENSMUST00000065086:110-693	-	74.0467	24.1165	115.759	OK	10.30811392
CUFF.1656	-	-	CUFF.1656	-	-	ENSMUST00000025831	5055-5712	ENSMUST00000025831:5055-5712	-	74.3652	25.6802	115.561	OK	10.35245262
CUFF.3365	-	-	CUFF.3365	-	-	ENSMUST00000036872	621-1313	ENSMUST00000036872:621-1313	-	74.7932	32.5085	101.589	OK	10.41203492
