tracking_id	class_code	nearest_ref_id	gene_id	gene_short_name	tss_id	locus	Length	coverage	FPKM	FPKM_conf_lo	FPKM_conf_hi	FPKM_status	TPM	
CUFF.2681	-	-	CUFF.2681	-	-	ENSMUST00000046603	801-1828	-	54.685	26.8051	80.4153	OK	8.305768741	1.984281619
CUFF.2591	-	-	CUFF.2591	-	-	ENSMUST00000163119	476-1308	-	59.7039	27.0716	90.2388	OK	9.068058633	
CUFF.1116	-	-	CUFF.1116	-	-	ENSMUST00000022550	1904-2600	-	60.9457	21.5743	97.0845	OK	9.256668007	
CUFF.3298	-	-	CUFF.3298	-	-	ENSMUST00000021018	71-670	-	63.2362	20.89	100.272	OK	9.604557982	
CUFF.2543	-	-	CUFF.2543	-	-	ENSMUST00000113796	37-901	-	64.3875	31.8621	95.5862	OK	9.779421867	
CUFF.2490	-	-	CUFF.2490	-	-	ENSMUST00000108431	1674-2260	-	65.3839	21.3534	102.496	OK	9.930758943	
CUFF.1830	-	-	CUFF.1830	-	-	ENSMUST00000047300	4-738	-	66.0126	27.2765	98.8774	OK	10.02624832	
CUFF.2248	-	-	CUFF.2248	-	-	ENSMUST00000131070	912-1979	-	66.6394	35.1821	96.1645	OK	10.12144913	
CUFF.3471	-	-	CUFF.3471	-	-	ENSMUST00000024599	130-815	-	67.532	29.2277	91.3366	OK	10.25702066	
CUFF.411	-	-	CUFF.411	-	-	ENSMUST00000080536	528-1323	-	67.6661	31.4795	97.5865	OK	10.27738828	
CUFF.3256	-	-	CUFF.3256	-	-	ENSMUST00000113429	54-701	-	67.6753	23.2082	104.437	OK	10.27878561	
CUFF.3289	-	-	CUFF.3289	-	-	ENSMUST00000110200	196-769	-	67.6827	21.8379	104.822	OK	10.27990955	
CUFF.3961	-	-	CUFF.3961	-	-	ENSMUST00000016771	2864-3880	-	67.7418	36.9482	98.5284	OK	10.28888589	
CUFF.3153	-	-	CUFF.3153	-	-	ENSMUST00000135192	966-1862	-	68.6384	33.5173	103.345	OK	10.42506496	
CUFF.86	-	-	CUFF.86	-	-	ENSMUST00000125442	8-612	-	68.6919	24.8605	95.2985	OK	10.43319074	
CUFF.3157	-	-	CUFF.3157	-	-	ENSMUST00000026324	302-941	-	68.9178	23.4988	105.745	OK	10.46750131	
CUFF.2155	-	-	CUFF.2155	-	-	ENSMUST00000004156	844-1591	-	69.0368	30.1521	100.507	OK	10.48557549	
CUFF.2313	-	-	CUFF.2313	-	-	ENSMUST00000115366	1599-2599	-	69.1021	37.5393	100.105	OK	10.4954935	
CUFF.1282	-	-	CUFF.1282	-	-	ENSMUST00000025851	67-631	-	69.3712	22.1864	106.495	OK	10.53636545	
CUFF.2462	-	-	CUFF.2462	-	-	ENSMUST00000046999	20-619	-	69.5598	25.068	96.094	OK	10.56501074	
CUFF.1773	-	-	CUFF.1773	-	-	ENSMUST00000031061	9-1314	-	70.4159	42.1898	95.8859	OK	10.69503851	
