tracking_id	class_code	nearest_ref_id	gene_id	gene_short_name	tss_id	locus	length	length2	coverage	FPKM	FPKM_conf_lo	FPKM_conf_hi	FPKM_status	TPM
CUFF.3229	-	-	CUFF.3229	-	-	ENSMUST00000045970	87-808	ENSMUST00000045970:87-808	-	56.3113	22.0569	84.5516	OK	7.539431089
CUFF.294	-	-	CUFF.294	-	-	ENSMUST00000014642	1610-2794	ENSMUST00000014642:1610-2794	-	64.8603	35.8177	89.5442	OK	8.684043208
CUFF.925	-	-	CUFF.925	-	-	ENSMUST00000011302	708-1401	ENSMUST00000011302:708-1401	-	64.9425	22.9481	103.267	OK	8.695048836
CUFF.384	-	-	CUFF.384	-	-	ENSMUST00000041965	4095-4701	ENSMUST00000041965:4095-4701	-	65.809	21.8689	104.971	OK	8.811063154
CUFF.3718	-	-	CUFF.3718	-	-	ENSMUST00000027127	2392-3028	ENSMUST00000027127:2392-3028	-	67.3716	25.0048	95.8517	OK	9.020277202
CUFF.201	-	-	CUFF.201	-	-	ENSMUST00000084731	2254-2961	ENSMUST00000084731:2254-2961	-	68.3992	29.9916	93.7238	OK	9.157860944
CUFF.4059	-	-	CUFF.4059	-	-	ENSMUST00000029699	150-1046	ENSMUST00000029699:150-1046	-	68.8685	32.5397	103.536	OK	9.22069478
CUFF.2018	-	-	CUFF.2018	-	-	ENSMUST00000025729	1354-2057	ENSMUST00000025729:1354-2057	-	68.9466	30.1623	94.2571	OK	9.231151466
CUFF.2968	-	-	CUFF.2968	-	-	ENSMUST00000002908	62-993	ENSMUST00000002908:62-993	-	69.1984	34.1634	102.49	OK	9.264864571
CUFF.1723	-	-	CUFF.1723	-	-	ENSMUST00000176663	2187-2771	ENSMUST00000176663:2187-2771	-	69.6114	22.6927	108.925	OK	9.320160489
CUFF.3756	-	-	CUFF.3756	-	-	ENSMUST00000060766	1824-2479	ENSMUST00000060766:1824-2479	-	70.4052	24.2795	109.258	OK	9.426441118
