tracking_id	class_code	nearest_ref_id	gene_id	gene_short_name	tss_id	locus	length1	length	coverage	FPKM	FPKM_conf_lo	FPKM_conf_hi	FPKM_status	TPM
CUFF.16526	-	-	CUFF.16526	-	-	ENSCAFT00000013274	868-1925	ENSCAFT00000013274:868-1925	-	0.807987	0.323606	1.24049	OK	0.379266287
CUFF.17992	-	-	CUFF.17992	-	-	ENSCAFT00000012525	2345-4100	ENSCAFT00000012525:2345-4100	-	0.811943	0.487253	1.10444	OK	0.38112322
CUFF.9156	-	-	CUFF.9156	-	-	ENSCAFT00000011327	10624-11584	ENSCAFT00000011327:10624-11584	-	0.836487	0.356304	1.30645	OK	0.392644088
CUFF.3351	-	-	CUFF.3351	-	-	ENSCAFT00000049360	1421-2635	ENSCAFT00000049360:1421-2635	-	0.851997	0.422634	1.2679	OK	0.399924428
CUFF.2602	-	-	CUFF.2602	-	-	ENSCAFT00000029766	373-1369	ENSCAFT00000029766:373-1369	-	0.870719	0.343425	1.3737	OK	0.40871247
CUFF.9042	-	-	CUFF.9042	-	-	ENSCAFT00000000565	767-2221	ENSCAFT00000000565:767-2221	-	0.870937	0.470497	1.25466	OK	0.408814798
CUFF.11134	-	-	CUFF.11134	-	-	ENSCAFT00000027373	1436-2416	ENSCAFT00000027373:1436-2416	-	0.888819	0.349032	1.39613	OK	0.417208547
CUFF.15202	-	-	CUFF.15202	-	-	ENSCAFT00000005005	1069-2239	ENSCAFT00000005005:1069-2239	-	0.89106	0.438528	1.31558	OK	0.418260464
CUFF.4127	-	-	CUFF.4127	-	-	ENSCAFT00000046104	3162-4075	ENSCAFT00000046104:3162-4075	-	0.892437	0.374646	1.3737	OK	0.418906823
CUFF.12	-	-	CUFF.12	-	-	ENSCAFT00000043128	218-1386	ENSCAFT00000043128:218-1386	-	0.892921	0.439278	1.31784	OK	0.419134011
CUFF.9153	-	-	CUFF.9153	-	-	ENSCAFT00000011334	6292-7455	ENSCAFT00000011334:6292-7455	-	0.897607	0.441167	1.3235	OK	0.421333603
CUFF.14645	-	-	CUFF.14645	-	-	ENSCAFT00000013004	2157-3061	ENSCAFT00000013004:2157-3061	-	0.904016	0.378376	1.38738	OK	0.424341966
CUFF.11450	-	-	CUFF.11450	-	-	ENSCAFT00000015597	1208-2550	ENSCAFT00000015597:1208-2550	-	0.906756	0.467283	1.31689	OK	0.425628112
CUFF.14352	-	-	CUFF.14352	-	-	ENSCAFT00000039419	41-932	ENSCAFT00000039419:41-932	-	0.921282	0.383896	1.40762	OK	0.432446566
CUFF.15850	-	-	CUFF.15850	-	-	ENSCAFT00000024762	23-909	ENSCAFT00000024762:23-909	-	0.928099	0.386063	1.41556	OK	0.435646442
CUFF.6834	-	-	CUFF.6834	-	-	ENSCAFT00000044956	1630-3496	ENSCAFT00000044956:1630-3496	-	0.92967	0.580473	1.2526	OK	0.436383864
CUFF.8212	-	-	CUFF.8212	-	-	ENSCAFT00000000401	777-1890	ENSCAFT00000000401:777-1890	-	0.947326	0.460986	1.38296	OK	0.444671529
CUFF.5618	-	-	CUFF.5618	-	-	ENSCAFT00000023686	1386-2315	ENSCAFT00000023686:1386-2315	-	0.951893	0.368193	1.47277	OK	0.446815263
CUFF.17508	-	-	CUFF.17508	-	-	ENSCAFT00000046059	1185-2531	ENSCAFT00000046059:1185-2531	-	0.953761	0.508249	1.39768	OK	0.447692096
CUFF.18458	-	-	CUFF.18458	-	-	ENSCAFT00000006090	3229-4275	ENSCAFT00000006090:3229-4275	-	0.955059	0.436012	1.47154	OK	0.448301372
CUFF.2683	-	-	CUFF.2683	-	-	ENSCAFT00000037480	55-860	ENSCAFT00000037480:55-860	-	0.958649	0.354091	1.558	OK	0.449986506
CUFF.16420	-	-	CUFF.16420	-	-	ENSCAFT00000030758	53-908	ENSCAFT00000030758:53-908	-	0.972728	0.40006	1.53356	OK	0.45659514
CUFF.5904	-	-	CUFF.5904	-	-	ENSCAFT00000044215	517-1428	ENSCAFT00000044215:517-1428	-	0.976347	0.375468	1.50187	OK	0.458293886
CUFF.3443	-	-	CUFF.3443	-	-	ENSCAFT00000012974	3773-4560	ENSCAFT00000012974:3773-4560	-	0.988572	0.362189	1.59363	OK	0.464032258
CUFF.12106	-	-	CUFF.12106	-	-	ENSCAFT00000025536	1700-2597	ENSCAFT00000025536:1700-2597	-	0.996253	0.381328	1.52531	OK	0.467637693
CUFF.17557	-	-	CUFF.17557	-	-	ENSCAFT00000046770	432-1269	ENSCAFT00000046770:432-1269	-	1.00067	0.408664	1.56654	OK	0.469711017
CUFF.13099	-	-	CUFF.13099	-	-	ENSCAFT00000049237	189-1594	ENSCAFT00000049237:189-1594	-	1.0021	0.568057	1.42014	OK	0.470382254
CUFF.13730	-	-	CUFF.13730	-	-	ENSCAFT00000021852	772-1608	ENSCAFT00000021852:772-1608	-	1.00227	0.409152	1.56842	OK	0.470462052
CUFF.18772	-	-	CUFF.18772	-	-	ENSCAFT00000013195	6334-7338	ENSCAFT00000013195:6334-7338	-	1.0056	0.454252	1.5331	OK	0.472025142
CUFF.11876	-	-	CUFF.11876	-	-	ENSCAFT00000044682	3-780	ENSCAFT00000044682:3-780	-	1.00602	0.366851	1.61414	OK	0.472222289
CUFF.3636	-	-	CUFF.3636	-	-	ENSCAFT00000045305	863-1922	ENSCAFT00000045305:863-1922	-	1.0076	0.484492	1.50731	OK	0.472963935
CUFF.9200	-	-	CUFF.9200	-	-	ENSCAFT00000014357	576-1352	ENSCAFT00000014357:576-1352	-	1.0078	0.367323	1.61622	OK	0.473057814
CUFF.11467	-	-	CUFF.11467	-	-	ENSCAFT00000030317	433-2263	ENSCAFT00000030317:433-2263	-	1.02073	0.654197	1.3707	OK	0.479127111
CUFF.2670	-	-	CUFF.2670	-	-	ENSCAFT00000031294	955-1885	ENSCAFT00000031294:955-1885	-	1.02978	0.490396	1.53249	OK	0.48337515
CUFF.7337	-	-	CUFF.7337	-	-	ENSCAFT00000019396	10433-11305	ENSCAFT00000019396:10433-11305	-	1.03389	0.392261	1.56904	OK	0.48530437
CUFF.6171	-	-	CUFF.6171	-	-	ENSCAFT00000007773	260-1296	ENSCAFT00000007773:260-1296	-	1.03567	0.495248	1.54077	OK	0.486139895
CUFF.14300	-	-	CUFF.14300	-	-	ENSCAFT00000005347	2509-3654	ENSCAFT00000005347:2509-3654	-	1.03688	0.547681	1.49367	OK	0.486707865
CUFF.14189	-	-	CUFF.14189	-	-	ENSCAFT00000013542	6309-7178	ENSCAFT00000013542:6309-7178	-	1.0386	0.393615	1.57446	OK	0.487515227
CUFF.12576	-	-	CUFF.12576	-	-	ENSCAFT00000018786	2383-3197	ENSCAFT00000018786:2383-3197	-	1.03879	0.420211	1.61081	OK	0.487604413
CUFF.5906	-	-	CUFF.5906	-	-	ENSCAFT00000014216	230-989	ENSCAFT00000014216:230-989	-	1.03902	0.375551	1.65242	OK	0.487712374
CUFF.9155	-	-	CUFF.9155	-	-	ENSCAFT00000011327	3811-4570	ENSCAFT00000011327:3811-4570	-	1.03902	0.375551	1.65242	OK	0.487712374
CUFF.10453	-	-	CUFF.10453	-	-	ENSCAFT00000003620	563-1319	ENSCAFT00000003620:563-1319	-	1.04473	0.377041	1.65898	OK	0.490392628
CUFF.7914	-	-	CUFF.7914	-	-	ENSCAFT00000021757	3565-4647	ENSCAFT00000021757:3565-4647	-	1.04642	0.526881	1.52796	OK	0.491185908
CUFF.17843	-	-	CUFF.17843	-	-	ENSCAFT00000043953	2040-2901	ENSCAFT00000043953:2040-2901	-	1.05137	0.397272	1.58909	OK	0.493509421
CUFF.9146	-	-	CUFF.9146	-	-	ENSCAFT00000047816	140-890	ENSCAFT00000047816:140-890	-	1.05635	0.380057	1.67225	OK	0.495847015
CUFF.2120	-	-	CUFF.2120	-	-	ENSCAFT00000031250	190-939	ENSCAFT00000031250:190-939	-	1.05831	0.380565	1.67448	OK	0.496767033
CUFF.11861	-	-	CUFF.11861	-	-	ENSCAFT00000022892	0-1607	ENSCAFT00000022892:0-1607	-	1.06125	0.638553	1.45448	OK	0.498147058
