tracking_id	class_code	nearest_ref_id	gene_id	gene_short_name	tss_id	locus	length	coverage	FPKM	FPKM_conf_lo	FPKM_conf_hi	FPKM_status	TPM
CUFF.346	-	-	CUFF.346	-	-	ENSMUST00000045905	1128-2008	-	93.7236	43.2465	144.155	OK	9.740857431
CUFF.1578	-	-	CUFF.1578	-	-	ENSMUST00000165067	802-2015	-	96.3167	52.2903	135.955	OK	10.01036284
CUFF.1321	-	-	CUFF.1321	-	-	ENSMUST00000111760	1160-1978	-	103.176	46.5243	155.081	OK	10.72326187
CUFF.2315	-	-	CUFF.2315	-	-	ENSMUST00000030536	108-758	-	104.115	39.0327	149.625	OK	10.82085378
CUFF.394	-	-	CUFF.394	-	-	ENSMUST00000032192	3603-4209	-	104.99	34.889	167.467	OK	10.91179406
CUFF.2434	-	-	CUFF.2434	-	-	ENSMUST00000034097	0-921	-	106.044	50.5038	160.694	OK	11.02133812
CUFF.2487	-	-	CUFF.2487	-	-	ENSMUST00000032322	1870-2510	-	106.498	39.6426	151.963	OK	11.06852313
CUFF.1028	-	-	CUFF.1028	-	-	ENSMUST00000057208	390-1173	-	109.405	48.604	162.013	OK	11.37065272
CUFF.2535	-	-	CUFF.2535	-	-	ENSMUST00000110127	232-806	-	114.051	36.834	176.803	OK	11.85351961
CUFF.1194	-	-	CUFF.1194	-	-	ENSMUST00000064856	170-1439	-	115.062	69.9759	159.945	OK	11.95859461
CUFF.409	-	-	CUFF.409	-	-	ENSMUST00000035237	101-956	-	116.782	54.4023	173.098	OK	12.13735721
CUFF.1676	-	-	CUFF.1676	-	-	ENSMUST00000074002	335-1150	-	117.506	57.0724	176.406	OK	12.2126038
CUFF.2717	-	-	CUFF.2717	-	-	ENSMUST00000035840	1159-1968	-	118.67	57.4957	177.714	OK	12.33358035
CUFF.1734	-	-	CUFF.1734	-	-	ENSMUST00000020375	206-1084	-	119.068	57.7933	178.196	OK	12.37494519
CUFF.430	-	-	CUFF.430	-	-	ENSMUST00000066587	924-1906	-	119.457	64.5908	172.242	OK	12.41537464
CUFF.2611	-	-	CUFF.2611	-	-	ENSMUST00000100487	454-1249	-	121.477	58.5082	180.843	OK	12.62531676
CUFF.59	-	-	CUFF.59	-	-	ENSMUST00000042658	39-590	-	121.594	38.3715	184.183	OK	12.63747678
CUFF.2095	-	-	CUFF.2095	-	-	ENSMUST00000108718	296-914	-	122.343	41.0538	184.742	OK	12.71532166
CUFF.2412	-	-	CUFF.2412	-	-	ENSMUST00000041231	3613-4161	-	122.653	38.5816	185.192	OK	12.7475405
CUFF.2341	-	-	CUFF.2341	-	-	ENSMUST00000026672	1567-2456	-	123.325	61.8347	171.235	OK	12.81738263
CUFF.1841	-	-	CUFF.1841	-	-	ENSMUST00000092498	614-1665	-	124.698	68.397	173.004	OK	12.96008092
CUFF.937	-	-	CUFF.937	-	-	ENSMUST00000023580	43-881	-	126.572	60.5519	186.702	OK	13.15484901
CUFF.1132	-	-	CUFF.1132	-	-	ENSMUST00000040097	318-1018	-	127.684	54.367	181.223	OK	13.27042111
CUFF.1782	-	-	CUFF.1782	-	-	ENSMUST00000111356	572-1103	-	129.014	39.8168	191.121	OK	13.40865034
