tracking_id	class_code	nearest_ref_id	gene_id	gene_short_name	tss_id	locus		length	coverage	FPKM	FPKM_conf_lo	FPKM_conf_hi	FPKM_status	TPM	1285073.439
CUFF.9756	-	-	CUFF.9756	-	-	ENSBTAT00000007609	1780-3276	ENSBTAT00000007609:1780-3276	-	0.775545	0.333255	1.19972	OK	0.603502474	
CUFF.9415	-	-	CUFF.9415	-	-	ENSBTAT00000017390	47-1705	ENSBTAT00000017390:47-1705	-	0.826511	0.360832	1.26291	OK	0.643162464	
CUFF.12724	-	-	CUFF.12724	-	-	ENSBTAT00000005119	1082-2541	ENSBTAT00000005119:1082-2541	-	0.878378	0.410048	1.29848	OK	0.683523582	
CUFF.8558	-	-	CUFF.8558	-	-	ENSBTAT00000043347	156-1939	ENSBTAT00000043347:156-1939	-	0.88762	0.447381	1.28622	OK	0.690715389	
CUFF.1287	-	-	CUFF.1287	-	-	ENSBTAT00000061560	3108-5449	ENSBTAT00000061560:3108-5449	-	0.889149	0.511115	1.23519	OK	0.691905204	
CUFF.11966	-	-	CUFF.11966	-	-	ENSBTAT00000002668	1129-2661	ENSBTAT00000002668:1129-2661	-	0.905305	0.390509	1.36678	OK	0.704477248	
CUFF.510	-	-	CUFF.510	-	-	ENSBTAT00000027936	1311-2807	ENSBTAT00000027936:1311-2807	-	0.930654	0.399906	1.39967	OK	0.724202969	
CUFF.1209	-	-	CUFF.1209	-	-	ENSBTAT00000023716	1445-3045	ENSBTAT00000023716:1445-3045	-	0.932757	0.436231	1.37101	OK	0.725839451	
CUFF.13490	-	-	CUFF.13490	-	-	ENSBTAT00000003008	149-1497	ENSBTAT00000003008:149-1497	-	0.964079	0.443813	1.47938	OK	0.750213156	
CUFF.12269	-	-	CUFF.12269	-	-	ENSBTAT00000012691	119-1363	ENSBTAT00000012691:119-1363	-	0.964615	0.400764	1.5229	OK	0.750630253	
CUFF.12083	-	-	CUFF.12083	-	-	ENSBTAT00000000434	2088-3410	ENSBTAT00000000434:2088-3410	-	0.986627	0.452541	1.50847	OK	0.767759235	
CUFF.2947	-	-	CUFF.2947	-	-	ENSBTAT00000027966	2793-4213	ENSBTAT00000027966:2793-4213	-	0.989124	0.42131	1.5448	OK	0.769702314	
CUFF.13048	-	-	CUFF.13048	-	-	ENSBTAT00000002979	81-1599	ENSBTAT00000002979:81-1599	-	0.991247	0.459796	1.51076	OK	0.77135436	
CUFF.2601	-	-	CUFF.2601	-	-	ENSBTAT00000046565	5-1409	ENSBTAT00000046565:5-1409	-	1.00238	0.426111	1.56241	OK	0.780017678	
CUFF.13057	-	-	CUFF.13057	-	-	ENSBTAT00000009521	850-2850	ENSBTAT00000009521:850-2850	-	1.00285	0.548405	1.44579	OK	0.780383416	
CUFF.6211	-	-	CUFF.6211	-	-	ENSBTAT00000061589	143-1844	ENSBTAT00000061589:143-1844	-	1.00334	0.527566	1.46546	OK	0.780764717	
CUFF.6425	-	-	CUFF.6425	-	-	ENSBTAT00000017857	110-1494	ENSBTAT00000017857:110-1494	-	1.01946	0.432269	1.58498	OK	0.793308747	
CUFF.1813	-	-	CUFF.1813	-	-	ENSBTAT00000009882	3076-4359	ENSBTAT00000009882:3076-4359	-	1.0225	0.466298	1.55433	OK	0.795674371	
CUFF.13261	-	-	CUFF.13261	-	-	ENSBTAT00000043850	63-1242	ENSBTAT00000043850:63-1242	-	1.02934	0.422858	1.60686	OK	0.800997024	
CUFF.6878	-	-	CUFF.6878	-	-	ENSBTAT00000007434	5056-6229	ENSBTAT00000007434:5056-6229	-	1.03576	0.425021	1.61508	OK	0.805992847	
CUFF.1211	-	-	CUFF.1211	-	-	ENSBTAT00000018586	617-1981	ENSBTAT00000018586:617-1981	-	1.03714	0.438607	1.60823	OK	0.807066716	
CUFF.2875	-	-	CUFF.2875	-	-	ENSBTAT00000024292	92-1345	ENSBTAT00000024292:92-1345	-	1.05192	0.477462	1.59154	OK	0.818568004	
CUFF.10952	-	-	CUFF.10952	-	-	ENSBTAT00000056581	2350-3602	ENSBTAT00000056581:2350-3602	-	1.05293	0.477843	1.59281	OK	0.819353951	
CUFF.10233	-	-	CUFF.10233	-	-	ENSBTAT00000062977	4926-6462	ENSBTAT00000062977:4926-6462	-	1.053	0.519323	1.55797	OK	0.819408423	
CUFF.12169	-	-	CUFF.12169	-	-	ENSBTAT00000065277	1725-3354	ENSBTAT00000065277:1725-3354	-	1.05426	0.550884	1.53023	OK	0.820388912	
CUFF.3888	-	-	CUFF.3888	-	-	ENSBTAT00000025153	3137-4293	ENSBTAT00000025153:3137-4293	-	1.05438	0.431271	1.63883	OK	0.820482292	
CUFF.7952	-	-	CUFF.7952	-	-	ENSBTAT00000065278	913-2339	ENSBTAT00000065278:913-2339	-	1.06626	0.48946	1.60823	OK	0.829726899	
CUFF.11116	-	-	CUFF.11116	-	-	ENSBTAT00000015094	54-1568	ENSBTAT00000015094:54-1568	-	1.07077	0.526869	1.58061	OK	0.833236426	
