tracking_id	class_code	nearest_ref_id	gene_id	gene_short_name	tss_id	locus	length1	length	coverage	FPKM	FPKM_conf_lo	FPKM_conf_hi	FPKM_status	TPM
CUFF.10961	-	-	CUFF.10961	-	-	ENSSSCT00000001671	4963-7799	ENSSSCT00000001671:4963-7799	-	1.00134	0.603055	1.43805	OK	0.539314084
CUFF.12665	-	-	CUFF.12665	-	-	ENSSSCT00000011250	4148-5721	ENSSSCT00000011250:4148-5721	-	1.06044	0.501814	1.58908	OK	0.571144893
CUFF.10777	-	-	CUFF.10777	-	-	ENSSSCT00000017175	4104-5415	ENSSSCT00000017175:4104-5415	-	1.1931	0.50175	1.8063	OK	0.642594556
CUFF.8333	-	-	CUFF.8333	-	-	ENSSSCT00000012861	98-1701	ENSSSCT00000012861:98-1701	-	1.22629	0.574493	1.80555	OK	0.660470437
CUFF.1622	-	-	CUFF.1622	-	-	ENSSSCT00000006279	2019-3217	ENSSSCT00000006279:2019-3217	-	1.32933	0.549077	2.08649	OK	0.715966995
CUFF.1386	-	-	CUFF.1386	-	-	ENSSSCT00000006268	8179-10056	ENSSSCT00000006268:8179-10056	-	1.3403	0.770989	1.96252	OK	0.721875353
CUFF.5622	-	-	CUFF.5622	-	-	ENSSSCT00000033964	621-2175	ENSSSCT00000033964:621-2175	-	1.36871	0.677265	2.0318	OK	0.737176762
CUFF.6479	-	-	CUFF.6479	-	-	ENSSSCT00000022983	696-2343	ENSSSCT00000022983:696-2343	-	1.37168	0.718901	1.99695	OK	0.738776382
CUFF.6905	-	-	CUFF.6905	-	-	ENSSSCT00000026181	116-1279	ENSSSCT00000026181:116-1279	-	1.37807	0.565601	2.14928	OK	0.742217987
CUFF.11512	-	-	CUFF.11512	-	-	ENSSSCT00000013042	4216-5640	ENSSSCT00000013042:4216-5640	-	1.40686	0.646708	2.1249	OK	0.757724061
CUFF.7908	-	-	CUFF.7908	-	-	ENSSSCT00000007585	400-1636	ENSSSCT00000007585:400-1636	-	1.40819	0.638635	2.12878	OK	0.758440389
CUFF.4962	-	-	CUFF.4962	-	-	ENSSSCT00000018923	612-1843	ENSSSCT00000018923:612-1843	-	1.41508	0.641229	2.13743	OK	0.762151291
CUFF.12788	-	-	CUFF.12788	-	-	ENSSSCT00000023121	1892-3022	ENSSSCT00000023121:1892-3022	-	1.42741	0.582119	2.21205	OK	0.768792135
CUFF.2710	-	-	CUFF.2710	-	-	ENSSSCT00000009956	5857-7167	ENSSSCT00000009956:5857-7167	-	1.43302	0.602559	2.20938	OK	0.771813638
CUFF.10962	-	-	CUFF.10962	-	-	ENSSSCT00000001671	7916-9928	ENSSSCT00000001671:7916-9928	-	1.4588	0.850032	2.027	OK	0.785698549
CUFF.12330	-	-	CUFF.12330	-	-	ENSSSCT00000023457	350-1716	ENSSSCT00000023457:350-1716	-	1.47734	0.674167	2.21512	OK	0.795684052
CUFF.14100	-	-	CUFF.14100	-	-	ENSSSCT00000023537	543-2511	ENSSSCT00000023537:543-2511	-	1.49527	0.869037	2.07232	OK	0.805341013
CUFF.7965	-	-	CUFF.7965	-	-	ENSSSCT00000010261	5346-6515	ENSSSCT00000010261:5346-6515	-	1.50641	0.675238	2.25079	OK	0.811340932
CUFF.10823	-	-	CUFF.10823	-	-	ENSSSCT00000013037	0-1079	ENSSSCT00000013037:0-1079	-	1.51102	0.609633	2.31661	OK	0.813823843
CUFF.6519	-	-	CUFF.6519	-	-	ENSSSCT00000035558	265-1598	ENSSSCT00000035558:265-1598	-	1.52069	0.690856	2.26996	OK	0.819032031
CUFF.13756	-	-	CUFF.13756	-	-	ENSSSCT00000010579	956-2027	ENSSSCT00000010579:956-2027	-	1.52503	0.614187	2.33391	OK	0.821369522
CUFF.956	-	-	CUFF.956	-	-	ENSSSCT00000011136	163-1232	ENSSSCT00000011136:163-1232	-	1.52858	0.615336	2.33828	OK	0.823281525
CUFF.14104	-	-	CUFF.14104	-	-	ENSSSCT00000022673	2146-3559	ENSSSCT00000022673:2146-3559	-	1.52891	0.744848	2.23454	OK	0.82345926
CUFF.11224	-	-	CUFF.11224	-	-	ENSSSCT00000036317	839-2249	ENSSSCT00000036317:839-2249	-	1.53273	0.746433	2.2393	OK	0.825516683
CUFF.15567	-	-	CUFF.15567	-	-	ENSSSCT00000016247	115-1436	ENSSSCT00000016247:115-1436	-	1.53709	0.697132	2.29058	OK	0.827864946
CUFF.11878	-	-	CUFF.11878	-	-	ENSSSCT00000006627	1077-2306	ENSSSCT00000006627:1077-2306	-	1.54675	0.642272	2.355	OK	0.833067748
CUFF.3157	-	-	CUFF.3157	-	-	ENSSSCT00000018814	4043-5441	ENSSSCT00000018814:4043-5441	-	1.54819	0.75284	2.25852	OK	0.833843321
