tracking_id	class_code	nearest_ref_id	gene_id	gene_short_name	tss_id	locus	length	coverage	FPKM	FPKM_conf_lo	FPKM_conf_hi	FPKM_status	TPM
CUFF.1153	-	-	CUFF.1153	-	-	ENSMUST00000020927	433-1129	-	27.4661	9.7228	44.7249	OK	2.678000084
CUFF.3425	-	-	CUFF.3425	-	-	ENSMUST00000102795	243-928	-	28.0932	9.87894	45.4431	OK	2.739143597
CUFF.1626	-	-	CUFF.1626	-	-	ENSMUST00000005798	360-1113	-	29.542	10.7842	46.7314	OK	2.880404516
CUFF.6619	-	-	CUFF.6619	-	-	ENSMUST00000164474	340-1088	-	29.8132	10.8563	47.0438	OK	2.906847062
CUFF.6399	-	-	CUFF.6399	-	-	ENSMUST00000055226	6621-7312	-	30.5224	11.7518	45.0485	OK	2.975995491
CUFF.6935	-	-	CUFF.6935	-	-	ENSMUST00000153084	352-1192	-	31.8822	14.5009	48.3362	OK	3.108578731
CUFF.4248	-	-	CUFF.4248	-	-	ENSMUST00000107609	8-800	-	32.1827	13.6709	49.5568	OK	3.137878086
CUFF.4099	-	-	CUFF.4099	-	-	ENSMUST00000021547	5518-6129	-	33.1916	11.0754	53.1619	OK	3.236247869
CUFF.273	-	-	CUFF.273	-	-	ENSMUST00000186037	237-929	-	33.2291	11.7348	52.8066	OK	3.239904194
CUFF.2651	-	-	CUFF.2651	-	-	ENSMUST00000042512	47-931	-	33.7977	16.8411	50.5234	OK	3.29534384
CUFF.1407	-	-	CUFF.1407	-	-	ENSMUST00000080036	721-1639	-	34.0835	16.2174	51.6008	OK	3.323209916
CUFF.6702	-	-	CUFF.6702	-	-	ENSMUST00000102518	475-1390	-	34.2272	16.2706	51.7699	OK	3.337220955
CUFF.4671	-	-	CUFF.4671	-	-	ENSMUST00000045291	6691-7329	-	34.2433	12.728	48.7908	OK	3.338790737
CUFF.7001	-	-	CUFF.7001	-	-	ENSMUST00000077303	1737-2375	-	34.2433	12.728	48.7908	OK	3.338790737
CUFF.949	-	-	CUFF.949	-	-	ENSMUST00000086828	3512-4146	-	34.5613	12.8083	49.0986	OK	3.369796378
CUFF.2853	-	-	CUFF.2853	-	-	ENSMUST00000164470	635-1307	-	34.6468	12.0841	54.3783	OK	3.3781328
CUFF.4990	-	-	CUFF.4990	-	-	ENSMUST00000173094	96-768	-	34.6468	12.0841	54.3783	OK	3.3781328
CUFF.6394	-	-	CUFF.6394	-	-	ENSMUST00000069304	23-806	-	35.0167	15.5565	51.855	OK	3.414198796
CUFF.1955	-	-	CUFF.1955	-	-	ENSMUST00000045004	4668-5600	-	35.2859	17.4259	52.2778	OK	3.440446338
CUFF.4028	-	-	CUFF.4028	-	-	ENSMUST00000171937	2829-3875	-	35.3306	19.4084	49.168	OK	3.444804678
CUFF.930	-	-	CUFF.930	-	-	ENSMUST00000161318	1153-1927	-	35.5689	15.7374	52.4579	OK	3.468039408
CUFF.1448	-	-	CUFF.1448	-	-	ENSMUST00000025823	73-655	-	35.733	11.6273	55.8109	OK	3.484039489
CUFF.6793	-	-	CUFF.6793	-	-	ENSMUST00000182428	782-1362	-	35.9227	11.6674	56.0034	OK	3.502535621
CUFF.1953	-	-	CUFF.1953	-	-	ENSMUST00000045004	38-919	-	35.9442	16.8985	53.7679	OK	3.504631914
