tracking_id	class_code	nearest_ref_id	gene_id	gene_short_name	tss_id	locus	length	coverage	FPKM	TPM	FPKM_conf_lo	FPKM_conf_hi	FPKM_status
CUFF.1882	-	-	CUFF.1882	-	-	ENSMUST00000057632	1081-1926	-	86.542	11.92882608	37.5581	126.759	OK
CUFF.1938	-	-	CUFF.1938	-	-	ENSMUST00000026270	627-1407	-	89.417	12.32511199	40.6879	127.15	OK
CUFF.1778	-	-	CUFF.1778	-	-	ENSMUST00000075896	148-859	-	93.7551	12.92306952	33.4774	150.648	OK
CUFF.1443	-	-	CUFF.1443	-	-	ENSMUST00000024783	38-787	-	94.496	13.02519412	42.3719	132.412	OK
CUFF.1533	-	-	CUFF.1533	-	-	ENSMUST00000020581	1373-2074	-	95.6386	13.18268847	33.955	152.797	OK
CUFF.1887	-	-	CUFF.1887	-	-	ENSMUST00000023222	2338-3295	-	99.9982	13.78360953	49.7439	149.232	OK
CUFF.1789	-	-	CUFF.1789	-	-	ENSMUST00000074002	1555-2543	-	101.103	13.93589359	52.1983	144.549	OK
CUFF.1407	-	-	CUFF.1407	-	-	ENSMUST00000106653	1683-2275	-	102.045	14.06573753	33.5057	160.827	OK
CUFF.1292	-	-	CUFF.1292	-	-	ENSMUST00000020904	2750-3415	-	103.095	14.21046804	35.7931	161.069	OK
CUFF.739	-	-	CUFF.739	-	-	ENSMUST00000001989	1994-2885	-	103.826	14.31122803	48.9762	155.833	OK
CUFF.1664	-	-	CUFF.1664	-	-	ENSMUST00000019862	332-1024	-	105.516	14.54417523	45.8621	143.319	OK
CUFF.1627	-	-	CUFF.1627	-	-	ENSMUST00000031414	14-667	-	105.846	14.58966196	36.4509	164.029	OK
CUFF.1132	-	-	CUFF.1132	-	-	ENSMUST00000056181	344-1071	-	106.04	14.61640264	43.6542	158.246	OK
CUFF.848	-	-	CUFF.848	-	-	ENSMUST00000152080	184-836	-	106.081	14.62205402	36.5068	164.281	OK
CUFF.567	-	-	CUFF.567	-	-	ENSMUST00000010421	3854-4730	-	106.141	14.63032434	49.8148	158.502	OK
CUFF.1234	-	-	CUFF.1234	-	-	ENSMUST00000040514	2547-3309	-	106.497	14.67939487	46.8552	156.184	OK
CUFF.2735	-	-	CUFF.2735	-	-	ENSMUST00000110974	519-1206	-	106.607	14.69455712	46.1959	144.362	OK
CUFF.2044	-	-	CUFF.2044	-	-	ENSMUST00000072031	132-707	-	106.711	14.70889233	34.4963	165.582	OK
CUFF.1065	-	-	CUFF.1065	-	-	ENSMUST00000008748	262-1307	-	108.395	14.94101249	56.9436	159.442	OK
CUFF.1950	-	-	CUFF.1950	-	-	ENSMUST00000122259	544-1259	-	108.526	14.95906934	44.3868	160.902	OK
CUFF.2639	-	-	CUFF.2639	-	-	ENSMUST00000060766	3297-4216	-	110.85	15.2794062	56.1175	155.402	OK
CUFF.1698	-	-	CUFF.1698	-	-	ENSMUST00000064099	1570-2515	-	112.312	15.48092619	58.7715	159.523	OK
CUFF.1759	-	-	CUFF.1759	-	-	ENSMUST00000098340	67-722	-	114.158	15.73537621	48.4528	175.641	OK
CUFF.1274	-	-	CUFF.1274	-	-	ENSMUST00000025831	5528-6217	-	114.335	15.75977363	46.0618	166.974	OK
CUFF.1505	-	-	CUFF.1505	-	-	ENSMUST00000103122	267-920	-	114.666	15.8053982	48.6012	176.179	OK
CUFF.2707	-	-	CUFF.2707	-	-	ENSMUST00000072187	527-1073	-	115.74	15.95343683	36.3285	174.377	OK
CUFF.662	-	-	CUFF.662	-	-	ENSMUST00000018851	4023-4635	-	116.462	16.05295629	38.8929	175.018	OK
CUFF.2798	-	-	CUFF.2798	-	-	ENSMUST00000120753	493-1172	-	116.738	16.09099973	46.7402	169.433	OK
CUFF.429	-	-	CUFF.429	-	-	ENSMUST00000026410	707-1317	-	117.035	16.13193779	39.0204	175.592	OK
CUFF.1241	-	-	CUFF.1241	-	-	ENSMUST00000022734	712-1322	-	117.035	16.13193779	39.0204	175.592	OK
CUFF.1656	-	-	CUFF.1656	-	-	ENSMUST00000087883	2490-3266	-	117.747	16.23007886	56.2343	173.815	OK
CUFF.953	-	-	CUFF.953	-	-	ENSMUST00000039803	225-865	-	118.079	16.27584126	49.5884	179.758	OK
CUFF.1215	-	-	CUFF.1215	-	-	ENSMUST00000041375	809-1347	-	118.506	16.33469834	36.8687	176.97	OK
CUFF.1847	-	-	CUFF.1847	-	-	ENSMUST00000114773	66-904	-	118.745	16.36764176	56.8077	175.157	OK
CUFF.916	-	-	CUFF.916	-	-	ENSMUST00000072767	2187-2857	-	118.989	16.40127437	47.368	171.709	OK
CUFF.435	-	-	CUFF.435	-	-	ENSMUST00000035237	972-1575	-	119.084	16.41436903	39.4734	177.63	OK
CUFF.1774	-	-	CUFF.1774	-	-	ENSMUST00000041826	135-1104	-	119.153	16.4238799	61.4098	171.947	OK
