tracking_id	class_code	nearest_ref_id	gene_id	gene_short_name	tss_id	locus	length	coverage	FPKM	FPKM_conf_lo	FPKM_conf_hi	FPKM_status	TPM
CUFF.1014	-	-	CUFF.1014	-	-	ENSMUST00000026289	46-780	-	125.957	45.54	204.93	OK	23.33413142
CUFF.1245	-	-	CUFF.1245	-	-	ENSMUST00000071745	19-702	-	139.347	48.9405	220.232	OK	25.81469241
CUFF.446	-	-	CUFF.446	-	-	ENSMUST00000015160	596-1389	-	151.142	70.253	217.784	OK	27.99977208
CUFF.983	-	-	CUFF.983	-	-	ENSMUST00000103122	1093-2013	-	155.452	78.7215	217.998	OK	28.79822001
CUFF.36	-	-	CUFF.36	-	-	ENSMUST00000152782	215-865	-	162.11	68.5669	248.555	OK	30.03164608
CUFF.1141	-	-	CUFF.1141	-	-	ENSMUST00000114093	4-619	-	162.359	54.3518	244.583	OK	30.07777451
CUFF.604	-	-	CUFF.604	-	-	ENSMUST00000068045	1586-2197	-	163.952	54.7076	246.184	OK	30.37288531
CUFF.774	-	-	CUFF.774	-	-	ENSMUST00000101301	1705-2240	-	167.926	52.066	249.917	OK	31.10908765
CUFF.1145	-	-	CUFF.1145	-	-	ENSMUST00000030769	551-1347	-	169.174	76.987	244.959	OK	31.34028557
CUFF.1707	-	-	CUFF.1707	-	-	ENSMUST00000045467	78-742	-	169.275	67.1212	243.314	OK	31.3589963
CUFF.1209	-	-	CUFF.1209	-	-	ENSMUST00000171340	2251-3143	-	169.86	87.4382	237.332	OK	31.46737032
CUFF.117	-	-	CUFF.117	-	-	ENSMUST00000001520	1243-1807	-	169.869	59.2666	227.189	OK	31.46903762
CUFF.668	-	-	CUFF.668	-	-	ENSMUST00000025684	930-1590	-	170.758	67.528	244.789	OK	31.63372908
CUFF.1704	-	-	CUFF.1704	-	-	ENSMUST00000060766	3380-4037	-	171.887	67.8364	245.907	OK	31.84288168
CUFF.1653	-	-	CUFF.1653	-	-	ENSMUST00000110856	14-796	-	173.266	78.3653	249.344	OK	32.09834797
CUFF.1278	-	-	CUFF.1278	-	-	ENSMUST00000159985	464-1374	-	173.416	91.8307	244.882	OK	32.12613618
CUFF.1837	-	-	CUFF.1837	-	-	ENSMUST00000016771	4040-4853	-	173.594	82.2297	253.542	OK	32.15911153
CUFF.1115	-	-	CUFF.1115	-	-	ENSMUST00000002889	3212-3764	-	175.714	60.555	232.128	OK	32.55185158
CUFF.916	-	-	CUFF.916	-	-	ENSMUST00000003038	1008-2186	-	177.175	104.044	245.921	OK	32.82250875
CUFF.1718	-	-	CUFF.1718	-	-	ENSMUST00000005616	655-1610	-	177.857	93.3372	233.343	OK	32.94885249
CUFF.1522	-	-	CUFF.1522	-	-	ENSMUST00000133426	284-891	-	179.374	73.4242	266.163	OK	33.22988393
CUFF.1233	-	-	CUFF.1233	-	-	ENSMUST00000112251	1563-2167	-	180.717	73.7889	267.485	OK	33.47868105
CUFF.1489	-	-	CUFF.1489	-	-	ENSMUST00000103221	565-1381	-	181.836	88.7547	245.782	OK	33.6859811
CUFF.212	-	-	CUFF.212	-	-	ENSMUST00000106290	41-581	-	181.975	61.9007	237.286	OK	33.71173151
CUFF.209	-	-	CUFF.209	-	-	ENSMUST00000020846	1542-2051	-	182.205	54.7256	262.683	OK	33.7543401
CUFF.888	-	-	CUFF.888	-	-	ENSMUST00000034801	401-910	-	182.205	54.7256	262.683	OK	33.7543401
CUFF.1313	-	-	CUFF.1313	-	-	ENSMUST00000033899	2156-2993	-	184.601	93.1838	252.928	OK	34.19821046
CUFF.1795	-	-	CUFF.1795	-	-	ENSMUST00000156898	1-506	-	184.62	55.159	264.763	OK	34.2017303
CUFF.830	-	-	CUFF.830	-	-	ENSMUST00000163832	5-1022	-	184.844	104.081	257.463	OK	34.24322736
CUFF.1092	-	-	CUFF.1092	-	-	ENSMUST00000115366	755-1500	-	185.099	82.2573	261.728	OK	34.29046732
CUFF.1421	-	-	CUFF.1421	-	-	ENSMUST00000124505	515-1500	-	185.284	101.806	248.86	OK	34.32473945
CUFF.1703	-	-	CUFF.1703	-	-	ENSMUST00000060766	2825-3328	-	185.852	55.3783	265.816	OK	34.42996414
CUFF.1491	-	-	CUFF.1491	-	-	ENSMUST00000103221	3016-3546	-	187.545	63.0686	241.763	OK	34.74360042
CUFF.492	-	-	CUFF.492	-	-	ENSMUST00000023509	700-1434	-	188.936	83.49	265.65	OK	35.00128976
CUFF.466	-	-	CUFF.466	-	-	ENSMUST00000079746	768-1325	-	188.979	60.0114	270.051	OK	35.00925572
CUFF.839	-	-	CUFF.839	-	-	ENSMUST00000021425	201-758	-	188.979	60.0114	270.051	OK	35.00925572
CUFF.529	-	-	CUFF.529	-	-	ENSMUST00000005651	14-910	-	193.005	99.4832	248.708	OK	35.75509131
CUFF.602	-	-	CUFF.602	-	-	ENSMUST00000025483	954-1561	-	193.172	73.4242	266.163	OK	35.78602885
CUFF.1579	-	-	CUFF.1579	-	-	ENSMUST00000162415	1577-2468	-	194.408	100.042	250.104	OK	36.01500371
CUFF.1834	-	-	CUFF.1834	-	-	ENSMUST00000016771	1444-2047	-	195.105	73.9113	267.928	OK	36.14412626
CUFF.1312	-	-	CUFF.1312	-	-	ENSMUST00000033899	1145-2089	-	195.54	106.228	259.668	OK	36.22471208
CUFF.1087	-	-	CUFF.1087	-	-	ENSMUST00000084512	384-1100	-	195.568	85.5889	272.328	OK	36.22989921
CUFF.965	-	-	CUFF.965	-	-	ENSMUST00000021698	367-1225	-	195.697	97.3962	272.709	OK	36.25379707
CUFF.223	-	-	CUFF.223	-	-	ENSMUST00000114996	296-812	-	195.94	64.7798	248.323	OK	36.29881397
CUFF.347	-	-	CUFF.347	-	-	ENSMUST00000173739	38-922	-	196.407	100.834	252.084	OK	36.38532794
CUFF.1712	-	-	CUFF.1712	-	-	ENSMUST00000107748	104-901	-	197.037	97.8606	265.622	OK	36.50203842
CUFF.1277	-	-	CUFF.1277	-	-	ENSMUST00000038627	201-966	-	198.344	94.6716	262.168	OK	36.74416637
CUFF.1464	-	-	CUFF.1464	-	-	ENSMUST00000053015	0-815	-	200.346	102.535	273.426	OK	37.11504636
CUFF.1817	-	-	CUFF.1817	-	-	ENSMUST00000142152	6-621	-	202.949	81.5277	271.759	OK	37.59726445
CUFF.861	-	-	CUFF.861	-	-	ENSMUST00000029259	1105-1882	-	203.905	100.379	272.459	OK	37.77436798
