tracking_id	class_code	nearest_ref_id	gene_id	gene_short_name	tss_id	locus	length1	length	coverage	FPKM	FPKM_conf_lo	FPKM_conf_hi	FPKM_status	TPM
CUFF.16523	-	-	CUFF.16523	-	-	ENSMUST00000048112	2053-2767	ENSMUST00000048112:2053-2767	-	1.69088	0.659611	2.52851	OK	0.495835021
CUFF.18577	-	-	CUFF.18577	-	-	ENSMUST00000177992	574-1279	ENSMUST00000177992:574-1279	-	1.72122	0.668031	2.56079	OK	0.504731947
CUFF.4917	-	-	CUFF.4917	-	-	ENSMUST00000184945	745-1487	ENSMUST00000184945:745-1487	-	1.74871	0.63472	2.85624	OK	0.512793137
CUFF.20495	-	-	CUFF.20495	-	-	ENSMUST00000018918	139-782	ENSMUST00000018918:139-782	-	1.78541	0.610371	2.92978	OK	0.523555075
CUFF.27658	-	-	CUFF.27658	-	-	ENSMUST00000131890	31-1066	ENSMUST00000131890:31-1066	-	1.7933	0.910071	2.57854	OK	0.525868745
CUFF.33846	-	-	CUFF.33846	-	-	ENSMUST00000120985	13-857	ENSMUST00000120985:13-857	-	1.83786	0.837018	2.79006	OK	0.538935555
CUFF.1494	-	-	CUFF.1494	-	-	ENSMUST00000164763	1864-2490	ENSMUST00000164763:1864-2490	-	1.85722	0.626946	3.00934	OK	0.544612697
CUFF.21927	-	-	CUFF.21927	-	-	ENSMUST00000174547	675-1343	ENSMUST00000174547:675-1343	-	1.85828	0.705033	2.70263	OK	0.544923533
CUFF.30012	-	-	CUFF.30012	-	-	ENSMUST00000183261	2104-2982	ENSMUST00000183261:2104-2982	-	1.86158	0.894005	2.77142	OK	0.545891227
CUFF.9855	-	-	CUFF.9855	-	-	ENSMUST00000080348	1190-2066	ENSMUST00000080348:1190-2066	-	1.86712	0.896046	2.77774	OK	0.547515781
CUFF.4453	-	-	CUFF.4453	-	-	ENSMUST00000149499	1426-2297	ENSMUST00000149499:1426-2297	-	1.8811	0.90119	2.79369	OK	0.551615288
CUFF.4829	-	-	CUFF.4829	-	-	ENSMUST00000063882	9-879	ENSMUST00000063882:9-879	-	1.88392	0.902226	2.7969	OK	0.552442227
CUFF.27184	-	-	CUFF.27184	-	-	ENSMUST00000182706	683-1463	ENSMUST00000182706:683-1463	-	1.90572	0.805063	2.91835	OK	0.558834877
CUFF.18275	-	-	CUFF.18275	-	-	ENSMUST00000087264	3700-4314	ENSMUST00000087264:3700-4314	-	1.9115	0.639199	3.06816	OK	0.560529809
CUFF.23073	-	-	CUFF.23073	-	-	ENSMUST00000115096	2693-4362	ENSMUST00000115096:2693-4362	-	1.92801	1.22279	2.58667	OK	0.565371214
CUFF.1810	-	-	CUFF.1810	-	-	ENSMUST00000057598	4-802	ENSMUST00000057598:4-802	-	1.98003	0.885267	2.95089	OK	0.580625601
CUFF.3104	-	-	CUFF.3104	-	-	ENSMUST00000160248	1504-2559	ENSMUST00000160248:1504-2559	-	2.02769	1.11602	2.82726	OK	0.594601458
