tracking_id	class_code	nearest_ref_id	gene_id	gene_short_name	tss_id	locus	length	length2	coverage	FPKM	FPKM_conf_lo	FPKM_conf_hi	FPKM_status	TPM
CUFF.13615	-	-	CUFF.13615	-	-	ENSGALT00000025947	902-2065	ENSGALT00000025947:902-2065	-	0.393526	0.161219	0.612631	OK	0.233110664
CUFF.10921	-	-	CUFF.10921	-	-	ENSGALT00000006262	671-1948	ENSGALT00000006262:671-1948	-	0.421773	0.176192	0.646036	OK	0.249843172
CUFF.13075	-	-	CUFF.13075	-	-	ENSGALT00000045671	111-1234	ENSGALT00000045671:111-1234	-	0.451846	0.200353	0.701237	OK	0.267657336
CUFF.6691	-	-	CUFF.6691	-	-	ENSGALT00000018117	1051-2675	ENSGALT00000018117:1051-2675	-	0.477393	0.253999	0.692724	OK	0.282790461
CUFF.14886	-	-	CUFF.14886	-	-	ENSGALT00000027716	755-1897	ENSGALT00000027716:755-1897	-	0.482873	0.19702	0.755244	OK	0.286036616
CUFF.9913	-	-	CUFF.9913	-	-	ENSGALT00000010993	116-1171	ENSGALT00000010993:116-1171	-	0.488211	0.213267	0.746435	OK	0.289198656
CUFF.8693	-	-	CUFF.8693	-	-	ENSGALT00000008749	1059-2282	ENSGALT00000008749:1059-2282	-	0.518302	0.245295	0.766547	OK	0.307023483
CUFF.2875	-	-	CUFF.2875	-	-	ENSGALT00000011449	1035-1957	ENSGALT00000011449:1035-1957	-	0.526745	0.203359	0.813438	OK	0.312024813
CUFF.7414	-	-	CUFF.7414	-	-	ENSGALT00000019179	6994-8039	ENSGALT00000019179:6994-8039	-	0.538973	0.215308	0.861232	OK	0.319268241
CUFF.4735	-	-	CUFF.4735	-	-	ENSGALT00000045755	2420-3313	ENSGALT00000045755:2420-3313	-	0.549113	0.209964	0.881847	OK	0.325274812
CUFF.10054	-	-	CUFF.10054	-	-	ENSGALT00000012268	392-1485	ENSGALT00000012268:392-1485	-	0.552144	0.27447	0.857719	OK	0.327070268
CUFF.10082	-	-	CUFF.10082	-	-	ENSGALT00000012429	2554-3509	ENSGALT00000012429:2554-3509	-	0.553751	0.235599	0.863862	OK	0.328022197
CUFF.4345	-	-	CUFF.4345	-	-	ENSGALT00000022366	1882-2830	ENSGALT00000022366:1882-2830	-	0.559004	0.237338	0.870241	OK	0.331133885
CUFF.14129	-	-	CUFF.14129	-	-	ENSGALT00000024423	634-1509	ENSGALT00000024423:634-1509	-	0.563978	0.214283	0.899988	OK	0.334080304
CUFF.12590	-	-	CUFF.12590	-	-	ENSGALT00000036870	2347-3420	ENSGALT00000036870:2347-3420	-	0.564941	0.279586	0.873706	OK	0.334650751
