tracking_id	class_code	nearest_ref_id	gene_id	gene_short_name	tss_id	locus	length1	length	coverage	FPKM	FPKM_conf_lo	FPKM_conf_hi	FPKM_status	TPM
CUFF.2794	-	-	CUFF.2794	-	-	ENSFCAT00000018089	204-1138	ENSFCAT00000018089:204-1138	-	1.04384	0.404522	1.61809	OK	0.459445961
CUFF.4794	-	-	CUFF.4794	-	-	ENSFCAT00000008885	886-2181	ENSFCAT00000008885:886-2181	-	1.04476	0.525161	1.51713	OK	0.459850899
CUFF.459	-	-	CUFF.459	-	-	ENSFCAT00000007391	338-2064	ENSFCAT00000007391:338-2064	-	1.0468	0.612924	1.44475	OK	0.460748804
CUFF.5963	-	-	CUFF.5963	-	-	ENSFCAT00000015250	11600-12596	ENSFCAT00000015250:11600-12596	-	1.05764	0.45521	1.59323	OK	0.465520028
CUFF.12470	-	-	CUFF.12470	-	-	ENSFCAT00000002099	5641-6560	ENSFCAT00000002099:5641-6560	-	1.06593	0.411125	1.6445	OK	0.46916887
CUFF.13760	-	-	CUFF.13760	-	-	ENSFCAT00000000574	504-1605	ENSFCAT00000000574:504-1605	-	1.10263	0.549063	1.71582	OK	0.485322367
CUFF.12381	-	-	CUFF.12381	-	-	ENSFCAT00000008788	252-1198	ENSFCAT00000008788:252-1198	-	1.1295	0.479269	1.75732	OK	0.497149192
CUFF.12889	-	-	CUFF.12889	-	-	ENSFCAT00000012788	1154-2078	ENSFCAT00000012788:1154-2078	-	1.16431	0.49068	1.79916	OK	0.512470807
CUFF.8406	-	-	CUFF.8406	-	-	ENSFCAT00000018928	33-1280	ENSFCAT00000018928:33-1280	-	1.166	0.605973	1.69672	OK	0.51321466
CUFF.13335	-	-	CUFF.13335	-	-	ENSFCAT00000008148	3638-4494	ENSFCAT00000008148:3638-4494	-	1.1699	0.441383	1.85381	OK	0.514931244
CUFF.9760	-	-	CUFF.9760	-	-	ENSFCAT00000012049	400-1707	ENSFCAT00000012049:400-1707	-	1.17111	0.63597	1.67665	OK	0.515463825
