tracking_id	class_code	nearest_ref_id	gene_id	gene_short_name	tss_id	locus	length1	length	coverage	FPKM	FPKM_conf_lo	FPKM_conf_hi	FPKM_status	TPM
CUFF.13615	-	-	CUFF.13615	-	-	ENSGALT00000025947	902-2065	ENSGALT00000025947:902-2065	-	0.393526	0.161219	0.612631	OK	0.233110642
CUFF.10921	-	-	CUFF.10921	-	-	ENSGALT00000006262	671-1948	ENSGALT00000006262:671-1948	-	0.421773	0.176192	0.646037	OK	0.249843148
CUFF.13075	-	-	CUFF.13075	-	-	ENSGALT00000045671	111-1234	ENSGALT00000045671:111-1234	-	0.451846	0.200353	0.701237	OK	0.267657311
CUFF.6691	-	-	CUFF.6691	-	-	ENSGALT00000018117	1051-2675	ENSGALT00000018117:1051-2675	-	0.477393	0.253999	0.692724	OK	0.282790435
CUFF.14887	-	-	CUFF.14887	-	-	ENSGALT00000027716	755-1897	ENSGALT00000027716:755-1897	-	0.482873	0.19702	0.755244	OK	0.286036589
CUFF.9913	-	-	CUFF.9913	-	-	ENSGALT00000010993	116-1171	ENSGALT00000010993:116-1171	-	0.488211	0.213267	0.746435	OK	0.289198629
CUFF.8693	-	-	CUFF.8693	-	-	ENSGALT00000008749	1059-2282	ENSGALT00000008749:1059-2282	-	0.518302	0.245295	0.766547	OK	0.307023454
CUFF.2876	-	-	CUFF.2876	-	-	ENSGALT00000011449	1035-1957	ENSGALT00000011449:1035-1957	-	0.526745	0.203359	0.813438	OK	0.312024784
CUFF.7415	-	-	CUFF.7415	-	-	ENSGALT00000019179	6994-8039	ENSGALT00000019179:6994-8039	-	0.538973	0.215308	0.861232	OK	0.319268211
CUFF.4735	-	-	CUFF.4735	-	-	ENSGALT00000045755	2420-3313	ENSGALT00000045755:2420-3313	-	0.549113	0.209964	0.881847	OK	0.325274782
CUFF.10055	-	-	CUFF.10055	-	-	ENSGALT00000012268	392-1485	ENSGALT00000012268:392-1485	-	0.552144	0.27447	0.857719	OK	0.327070237
CUFF.10082	-	-	CUFF.10082	-	-	ENSGALT00000012429	2554-3509	ENSGALT00000012429:2554-3509	-	0.553751	0.235599	0.863863	OK	0.328022166
CUFF.4345	-	-	CUFF.4345	-	-	ENSGALT00000022366	1882-2830	ENSGALT00000022366:1882-2830	-	0.559004	0.237339	0.870241	OK	0.331133854
CUFF.14129	-	-	CUFF.14129	-	-	ENSGALT00000024423	634-1509	ENSGALT00000024423:634-1509	-	0.563979	0.214283	0.899988	OK	0.334080865
CUFF.12590	-	-	CUFF.12590	-	-	ENSGALT00000036870	2347-3420	ENSGALT00000036870:2347-3420	-	0.564941	0.279586	0.873707	OK	0.33465072
CUFF.8690	-	-	CUFF.8690	-	-	ENSGALT00000009035	2580-4169	ENSGALT00000009035:2580-4169	-	0.571095	0.330392	0.80238	OK	0.338296128
CUFF.1251	-	-	CUFF.1251	-	-	ENSGALT00000010803	238-1098	ENSGALT00000010803:238-1098	-	0.576995	0.21802	0.915685	OK	0.341791075
CUFF.1072	-	-	CUFF.1072	-	-	ENSGALT00000009480	155-1325	ENSGALT00000009480:155-1325	-	0.585984	0.288458	0.865373	OK	0.347115836
CUFF.9927	-	-	CUFF.9927	-	-	ENSGALT00000038545	634-1956	ENSGALT00000038545:634-1956	-	0.607055	0.312023	0.879337	OK	0.359597538
CUFF.11344	-	-	CUFF.11344	-	-	ENSGALT00000009049	4476-5298	ENSGALT00000009049:4476-5298	-	0.612827	0.228099	0.958016	OK	0.363016663
CUFF.8889	-	-	CUFF.8889	-	-	ENSGALT00000011895	1741-5159	ENSGALT00000011895:1741-5159	-	0.619554	0.449818	0.778954	OK	0.367001496
CUFF.13232	-	-	CUFF.13232	-	-	ENSGALT00000038341	41-915	ENSGALT00000038341:41-915	-	0.621311	0.257434	0.943923	OK	0.368042279
CUFF.7580	-	-	CUFF.7580	-	-	ENSGALT00000020476	212-1265	ENSGALT00000020476:212-1265	-	0.622834	0.284896	0.925913	OK	0.36894445
CUFF.13702	-	-	CUFF.13702	-	-	ENSGALT00000026233	46-913	ENSGALT00000026233:46-913	-	0.627931	0.259512	0.994796	OK	0.371963729
CUFF.11076	-	-	CUFF.11076	-	-	ENSGALT00000032933	2279-3382	ENSGALT00000032933:2279-3382	-	0.629954	0.305979	0.951936	OK	0.373162081
CUFF.4036	-	-	CUFF.4036	-	-	ENSGALT00000019298	490-2420	ENSGALT00000019298:490-2420	-	0.632292	0.408025	0.854911	OK	0.374547028
CUFF.10367	-	-	CUFF.10367	-	-	ENSGALT00000000539	193-2178	ENSGALT00000000539:193-2178	-	0.633826	0.39672	0.869006	OK	0.375455715
CUFF.2346	-	-	CUFF.2346	-	-	ENSGALT00000019151	309-1109	ENSGALT00000019151:309-1109	-	0.635682	0.234372	1.03124	OK	0.376555142
CUFF.7098	-	-	CUFF.7098	-	-	ENSGALT00000025350	491-1642	ENSGALT00000025350:491-1642	-	0.637672	0.325799	0.944818	OK	0.377733947
CUFF.11982	-	-	CUFF.11982	-	-	ENSGALT00000020658	0-915	ENSGALT00000020658:0-915	-	0.638371	0.245898	0.983593	OK	0.378148009
CUFF.14087	-	-	CUFF.14087	-	-	ENSGALT00000024072	5676-6472	ENSGALT00000024072:5676-6472	-	0.640021	0.23555	1.03642	OK	0.37912541
CUFF.6117	-	-	CUFF.6117	-	-	ENSGALT00000000384	0-971	ENSGALT00000000384:0-971	-	0.640672	0.308956	0.965486	OK	0.379511039
CUFF.8956	-	-	CUFF.8956	-	-	ENSGALT00000010892	878-1725	ENSGALT00000010892:878-1725	-	0.647649	0.26564	1.01829	OK	0.383643963
CUFF.657	-	-	CUFF.657	-	-	ENSGALT00000043622	139-984	ENSGALT00000043622:139-984	-	0.64969	0.266269	1.0207	OK	0.384852978
CUFF.11391	-	-	CUFF.11391	-	-	ENSGALT00000018963	27-1443	ENSGALT00000018963:27-1443	-	0.653025	0.370758	0.926894	OK	0.386828512
CUFF.1979	-	-	CUFF.1979	-	-	ENSGALT00000038850	501-1680	ENSGALT00000038850:501-1680	-	0.657947	0.349868	0.954185	OK	0.389744127
CUFF.14647	-	-	CUFF.14647	-	-	ENSGALT00000027298	664-1493	ENSGALT00000027298:664-1493	-	0.666485	0.271408	1.0404	OK	0.394801731
CUFF.13478	-	-	CUFF.13478	-	-	ENSGALT00000019796	610-1664	ENSGALT00000019796:610-1664	-	0.666531	0.320204	0.996191	OK	0.39482898
CUFF.1725	-	-	CUFF.1725	-	-	ENSGALT00000015312	746-1518	ENSGALT00000015312:746-1518	-	0.667358	0.242872	1.06864	OK	0.395318865
CUFF.14171	-	-	CUFF.14171	-	-	ENSGALT00000036905	1253-2135	ENSGALT00000036905:1253-2135	-	0.669724	0.255099	1.02039	OK	0.396720398
CUFF.3985	-	-	CUFF.3985	-	-	ENSGALT00000018988	326-1367	ENSGALT00000018988:326-1367	-	0.676959	0.324203	1.00863	OK	0.401006152
CUFF.12459	-	-	CUFF.12459	-	-	ENSGALT00000026486	46-1075	ENSGALT00000026486:46-1075	-	0.686879	0.327984	1.02039	OK	0.406882403
CUFF.9161	-	-	CUFF.9161	-	-	ENSGALT00000011460	2854-3663	ENSGALT00000011460:2854-3663	-	0.688742	0.278117	1.06612	OK	0.407985977
CUFF.3147	-	-	CUFF.3147	-	-	ENSGALT00000022029	2184-3156	ENSGALT00000022029:2184-3156	-	0.689048	0.308638	1.04165	OK	0.40816724
CUFF.7281	-	-	CUFF.7281	-	-	ENSGALT00000004004	899-1653	ENSGALT00000004004:899-1653	-	0.689443	0.24867	1.09415	OK	0.408401224
CUFF.11887	-	-	CUFF.11887	-	-	ENSGALT00000024042	787-1593	ENSGALT00000024042:787-1593	-	0.692209	0.279153	1.07008	OK	0.410039703
CUFF.15131	-	-	CUFF.15131	-	-	ENSGALT00000024541	10-1023	ENSGALT00000024541:10-1023	-	0.700567	0.333164	1.03651	OK	0.414990682
CUFF.13218	-	-	CUFF.13218	-	-	ENSGALT00000018221	4852-5754	ENSGALT00000018221:4852-5754	-	0.704562	0.33259	1.03934	OK	0.417357176
CUFF.10376	-	-	CUFF.10376	-	-	ENSGALT00000014750	236-1244	ENSGALT00000014750:236-1244	-	0.704957	0.334817	1.04165	OK	0.41759116
CUFF.4041	-	-	CUFF.4041	-	-	ENSGALT00000019298	7826-8673	ENSGALT00000019298:7826-8673	-	0.706527	0.26564	1.06256	OK	0.418521171
CUFF.14815	-	-	CUFF.14815	-	-	ENSGALT00000027598	1086-1875	ENSGALT00000027598:1086-1875	-	0.712536	0.285167	1.09314	OK	0.422080686
CUFF.15149	-	-	CUFF.15149	-	-	ENSGALT00000046042	179-1388	ENSGALT00000046042:179-1388	-	0.713268	0.372203	1.02356	OK	0.422514297
CUFF.11687	-	-	CUFF.11687	-	-	ENSGALT00000022374	9-849	ENSGALT00000022374:9-849	-	0.714378	0.267853	1.1607	OK	0.423171821
CUFF.9994	-	-	CUFF.9994	-	-	ENSGALT00000014654	48-1517	ENSGALT00000014654:48-1517	-	0.714894	0.408436	1.02109	OK	0.423477481
CUFF.15153	-	-	CUFF.15153	-	-	ENSGALT00000004533	1053-1945	ENSGALT00000004533:1053-1945	-	0.714894	0.336318	1.05099	OK	0.423477481
CUFF.12639	-	-	CUFF.12639	-	-	ENSGALT00000013600	4-1100	ENSGALT00000013600:4-1100	-	0.719589	0.376363	1.06066	OK	0.42625863
CUFF.152	-	-	CUFF.152	-	-	ENSGALT00000039384	2925-4228	ENSGALT00000039384:2925-4228	-	0.720544	0.402911	1.03606	OK	0.426824338
CUFF.11014	-	-	CUFF.11014	-	-	ENSGALT00000016894	3542-4944	ENSGALT00000016894:3542-4944	-	0.723619	0.401207	1.04314	OK	0.428645857
CUFF.10690	-	-	CUFF.10690	-	-	ENSGALT00000016494	1662-2596	ENSGALT00000016494:1662-2596	-	0.725218	0.321195	1.08403	OK	0.429593047
CUFF.1703	-	-	CUFF.1703	-	-	ENSGALT00000021972	1500-2226	ENSGALT00000021972:1500-2226	-	0.726861	0.258261	1.188	OK	0.430566301
CUFF.9805	-	-	CUFF.9805	-	-	ENSGALT00000009845	1817-2541	ENSGALT00000009845:1817-2541	-	0.72969	0.258974	1.19128	OK	0.432242099
CUFF.3189	-	-	CUFF.3189	-	-	ENSGALT00000023595	46-870	ENSGALT00000023595:46-870	-	0.732997	0.273055	1.18324	OK	0.434201047
CUFF.335	-	-	CUFF.335	-	-	ENSGALT00000041215	1155-1876	ENSGALT00000041215:1155-1876	-	0.733975	0.260052	1.19624	OK	0.434780379
CUFF.9777	-	-	CUFF.9777	-	-	ENSGALT00000009612	1497-2217	ENSGALT00000009612:1497-2217	-	0.735414	0.260413	1.1979	OK	0.43563279
CUFF.8272	-	-	CUFF.8272	-	-	ENSGALT00000008952	1313-2287	ENSGALT00000008952:1313-2287	-	0.736333	0.346504	1.11651	OK	0.436177173
CUFF.5913	-	-	CUFF.5913	-	-	ENSGALT00000043251	409-1891	ENSGALT00000043251:409-1891	-	0.73707	0.430156	1.03744	OK	0.436613745
CUFF.14581	-	-	CUFF.14581	-	-	ENSGALT00000027169	18-889	ENSGALT00000027169:18-889	-	0.737609	0.344427	1.07633	OK	0.436933029
CUFF.12282	-	-	CUFF.12282	-	-	ENSGALT00000021258	1281-2710	ENSGALT00000021258:1281-2710	-	0.738355	0.419868	1.04967	OK	0.437374933
CUFF.7120	-	-	CUFF.7120	-	-	ENSGALT00000013575	217-2103	ENSGALT00000013575:217-2103	-	0.738395	0.477194	0.994154	OK	0.437398628
