tracking_id	class_code	nearest_ref_id	gene_id	gene_short_name	tss_id	locus	length1	length	coverage	FPKM	FPKM_conf_lo	FPKM_conf_hi	FPKM_status	TPM
CUFF.127	-	-	CUFF.127	-	-	ENSSTOT00000012481	6090-7253	ENSSTOT00000012481:6090-7253	-	2.53313	1.11759	3.83175	OK	1.158723872
CUFF.6167	-	-	CUFF.6167	-	-	ENSSTOT00000015321	11568-12490	ENSSTOT00000015321:11568-12490	-	2.6082	1.00694	4.02777	OK	1.19306297
CUFF.12582	-	-	CUFF.12582	-	-	ENSSTOT00000029527	3263-4254	ENSSTOT00000029527:3263-4254	-	2.61551	1.1242	3.93469	OK	1.196406767
CUFF.6112	-	-	CUFF.6112	-	-	ENSSTOT00000009780	2580-3537	ENSSTOT00000009780:2580-3537	-	2.73457	1.16414	4.26851	OK	1.250868111
CUFF.11010	-	-	CUFF.11010	-	-	ENSSTOT00000014900	1569-2455	ENSSTOT00000014900:1569-2455	-	2.74711	1.04786	4.401	OK	1.256604254
CUFF.5486	-	-	CUFF.5486	-	-	ENSSTOT00000010218	1970-3321	ENSSTOT00000010218:1970-3321	-	2.92945	1.51183	4.26061	OK	1.340011624
CUFF.5167	-	-	CUFF.5167	-	-	ENSSTOT00000014428	5958-6921	ENSSTOT00000014428:5958-6921	-	2.9594	1.15689	4.62754	OK	1.353711584
CUFF.2491	-	-	CUFF.2491	-	-	ENSSTOT00000022350	208-1359	ENSSTOT00000022350:208-1359	-	2.96011	1.45189	4.35566	OK	1.354036358
CUFF.3286	-	-	CUFF.3286	-	-	ENSSTOT00000025203	1592-2429	ENSSTOT00000025203:1592-2429	-	2.96183	1.1092	4.65864	OK	1.354823134
CUFF.2154	-	-	CUFF.2154	-	-	ENSSTOT00000027495	35-1428	ENSSTOT00000027495:35-1428	-	2.98241	1.59954	4.26544	OK	1.364236996
CUFF.3109	-	-	CUFF.3109	-	-	ENSSTOT00000022774	7-898	ENSSTOT00000022774:7-898	-	2.99963	1.25037	4.58469	OK	1.372113901
CUFF.9463	-	-	CUFF.9463	-	-	ENSSTOT00000022922	2606-3665	ENSSTOT00000022922:2606-3665	-	3.06219	1.40268	4.55872	OK	1.400730579
CUFF.7525	-	-	CUFF.7525	-	-	ENSSTOT00000009880	5482-6538	ENSSTOT00000009880:5482-6538	-	3.07305	1.40667	4.57167	OK	1.405698244
CUFF.10337	-	-	CUFF.10337	-	-	ENSSTOT00000025253	392-1206	ENSSTOT00000025253:392-1206	-	3.07463	1.14054	4.79027	OK	1.40642098
CUFF.12468	-	-	CUFF.12468	-	-	ENSSTOT00000000136	42-975	ENSSTOT00000000136:42-975	-	3.08221	1.19408	4.77634	OK	1.409888282
CUFF.11484	-	-	CUFF.11484	-	-	ENSSTOT00000020685	55-867	ENSSTOT00000020685:55-867	-	3.08485	1.14335	4.80207	OK	1.411095891
CUFF.10614	-	-	CUFF.10614	-	-	ENSSTOT00000029978	71-876	ENSSTOT00000029978:71-876	-	3.12115	1.15329	5.07449	OK	1.427700518
CUFF.3032	-	-	CUFF.3032	-	-	ENSSTOT00000019532	5631-6491	ENSSTOT00000019532:5631-6491	-	3.14271	1.29544	4.96586	OK	1.437562659
CUFF.7346	-	-	CUFF.7346	-	-	ENSSTOT00000023010	2475-3389	ENSSTOT00000023010:2475-3389	-	3.16541	1.21891	4.87563	OK	1.447946268
CUFF.4221	-	-	CUFF.4221	-	-	ENSSTOT00000027399	2319-3465	ENSSTOT00000027399:2319-3465	-	3.17432	1.62025	4.69871	OK	1.452021949
