tracking_id	class_code	nearest_ref_id	gene_id	gene_short_name	tss_id	locus	length1	length2	coverage	FPKM	FPKM_conf_lo	FPKM_conf_hi	FPKM_status	TPM
CUFF.17558	-	-	CUFF.17558	-	-	ENSCAFT00000000128	957-1710	ENSCAFT00000000128:957-1710	-	2.18168	0.868624	3.32973	OK	0.279965288
CUFF.8399	-	-	CUFF.8399	-	-	ENSCAFT00000021247	49-868	ENSCAFT00000021247:49-868	-	2.479	1.06483	3.86002	OK	0.318119041
CUFF.16253	-	-	CUFF.16253	-	-	ENSCAFT00000008823	425-1056	ENSCAFT00000008823:425-1056	-	2.54916	0.863806	4.14627	OK	0.327122362
CUFF.15535	-	-	CUFF.15535	-	-	ENSCAFT00000018923	2380-3504	ENSCAFT00000018923:2380-3504	-	2.605	1.45479	3.68547	OK	0.33428806
CUFF.9786	-	-	CUFF.9786	-	-	ENSCAFT00000023554	10-1070	ENSCAFT00000023554:10-1070	-	2.67237	1.43979	3.80515	OK	0.342933353
CUFF.16643	-	-	CUFF.16643	-	-	ENSCAFT00000008423	7127-8461	ENSCAFT00000008423:7127-8461	-	2.69966	1.63437	3.75905	OK	0.346435357
CUFF.5334	-	-	CUFF.5334	-	-	ENSCAFT00000019781	7321-8087	ENSCAFT00000019781:7321-8087	-	2.71252	1.13851	4.1271	OK	0.348085624
CUFF.20927	-	-	CUFF.20927	-	-	ENSCAFT00000000958	33-756	ENSCAFT00000000958:33-756	-	2.7272	1.20622	3.76944	OK	0.349969443
CUFF.17343	-	-	CUFF.17343	-	-	ENSCAFT00000044487	6730-7330	ENSCAFT00000044487:6730-7330	-	2.7484	0.908436	4.36049	OK	0.352689944
CUFF.9230	-	-	CUFF.9230	-	-	ENSCAFT00000024839	10-846	ENSCAFT00000024839:10-846	-	2.75701	1.30398	4.04232	OK	0.353794827
CUFF.1974	-	-	CUFF.1974	-	-	ENSCAFT00000006294	1151-2173	ENSCAFT00000006294:1151-2173	-	2.79642	1.49332	4.0533	OK	0.358852137
CUFF.2294	-	-	CUFF.2294	-	-	ENSCAFT00000045560	8200-9063	ENSCAFT00000045560:8200-9063	-	2.80943	1.3895	4.16849	OK	0.360521653
CUFF.12733	-	-	CUFF.12733	-	-	ENSCAFT00000044681	3415-4117	ENSCAFT00000044681:3415-4117	-	2.84205	1.24231	3.88221	OK	0.364707632
CUFF.19526	-	-	CUFF.19526	-	-	ENSCAFT00000028994	4491-5224	ENSCAFT00000028994:4491-5224	-	2.88153	1.18977	4.3129	OK	0.369773925
CUFF.5308	-	-	CUFF.5308	-	-	ENSCAFT00000036666	66-646	ENSCAFT00000036666:66-646	-	2.89434	0.939761	4.51085	OK	0.371417775
