tracking_id	class_code	nearest_ref_id	gene_id	gene_short_name	tss_id	locus	length	length2	coverage	FPKM	FPKM_conf_lo	FPKM_conf_hi	FPKM_status	TPM
CUFF.3790	-	-	CUFF.3790	-	-	ENSMODT00000005889	446-2295	ENSMODT00000005889:446-2295	-	3.73621	1.80638	5.72019	OK	7.423591885
CUFF.6418	-	-	CUFF.6418	-	-	ENSMODT00000015846	3639-5304	ENSMODT00000015846:3639-5304	-	3.82611	1.67167	5.68367	OK	7.602216992
CUFF.742	-	-	CUFF.742	-	-	ENSMODT00000039658	7444-9139	ENSMODT00000039658:7444-9139	-	4.12369	1.9705	6.2399	OK	8.193487952
CUFF.6661	-	-	CUFF.6661	-	-	ENSMODT00000024076	38-2111	ENSMODT00000024076:38-2111	-	4.18341	2.14825	6.17621	OK	8.312147478
CUFF.1098	-	-	CUFF.1098	-	-	ENSMODT00000025958	53-1585	ENSMODT00000025958:53-1585	-	4.21107	1.81679	6.54045	OK	8.367105993
CUFF.4228	-	-	CUFF.4228	-	-	ENSMODT00000038958	1835-3193	ENSMODT00000038958:1835-3193	-	4.36444	1.63966	6.96856	OK	8.671841617
CUFF.6613	-	-	CUFF.6613	-	-	ENSMODT00000020459	1179-2769	ENSMODT00000020459:1179-2769	-	4.43747	2.10062	6.65197	OK	8.816947196
CUFF.1588	-	-	CUFF.1588	-	-	ENSMODT00000023092	1669-3340	ENSMODT00000023092:1669-3340	-	4.57248	1.9988	6.99579	OK	9.085202765
CUFF.7472	-	-	CUFF.7472	-	-	ENSMODT00000014272	3643-5556	ENSMODT00000014272:3643-5556	-	4.57647	2.32792	6.69278	OK	9.09313062
CUFF.7278	-	-	CUFF.7278	-	-	ENSMODT00000023748	1109-2624	ENSMODT00000023748:1109-2624	-	4.69252	2.20461	6.98128	OK	9.323713976
CUFF.6969	-	-	CUFF.6969	-	-	ENSMODT00000043441	3101-4714	ENSMODT00000043441:3101-4714	-	4.76152	2.07067	7.24734	OK	9.460812222
CUFF.2388	-	-	CUFF.2388	-	-	ENSMODT00000023039	2484-4545	ENSMODT00000023039:2484-4545	-	4.81203	2.70095	7.02246	OK	9.561172113
CUFF.6050	-	-	CUFF.6050	-	-	ENSMODT00000044322	379-1739	ENSMODT00000044322:379-1739	-	4.84094	2.04656	7.36762	OK	9.618614291
CUFF.657	-	-	CUFF.657	-	-	ENSMODT00000038574	188-1776	ENSMODT00000038574:188-1776	-	4.84791	2.10327	7.36144	OK	9.632463201
CUFF.33	-	-	CUFF.33	-	-	ENSMODT00000014778	2757-4216	ENSMODT00000014778:2757-4216	-	4.90293	2.28923	7.24923	OK	9.741784151
CUFF.382	-	-	CUFF.382	-	-	ENSMODT00000024151	5602-7282	ENSMODT00000024151:5602-7282	-	4.92319	2.31944	7.28966	OK	9.782039375
CUFF.6385	-	-	CUFF.6385	-	-	ENSMODT00000031151	266-2027	ENSMODT00000031151:266-2027	-	5.02499	2.52886	7.27047	OK	9.984308962
CUFF.3922	-	-	CUFF.3922	-	-	ENSMODT00000034355	366-1683	ENSMODT00000034355:366-1683	-	5.029	2.11338	7.60818	OK	9.992276556
CUFF.6161	-	-	CUFF.6161	-	-	ENSMODT00000002231	3717-5033	ENSMODT00000002231:3717-5033	-	5.03355	2.11499	7.61396	OK	10.00131709
CUFF.2929	-	-	CUFF.2929	-	-	ENSMODT00000042617	2402-4602	ENSMODT00000042617:2402-4602	-	5.03539	2.78332	7.08483	OK	10.00497305
CUFF.4177	-	-	CUFF.4177	-	-	ENSMODT00000019066	955-2367	ENSMODT00000019066:955-2367	-	5.09465	2.36543	7.49053	OK	10.12271858
CUFF.6074	-	-	CUFF.6074	-	-	ENSMODT00000009842	1926-3774	ENSMODT00000009842:1926-3774	-	5.09794	2.71103	7.53064	OK	10.12925559
CUFF.6370	-	-	CUFF.6370	-	-	ENSMODT00000005592	64-1469	ENSMODT00000005592:64-1469	-	5.1245	2.37722	7.52785	OK	10.18202848
CUFF.1701	-	-	CUFF.1701	-	-	ENSMODT00000024699	2137-3531	ENSMODT00000024699:2137-3531	-	5.17211	2.39598	7.58725	OK	10.27662627
CUFF.5707	-	-	CUFF.5707	-	-	ENSMODT00000014668	1706-2989	ENSMODT00000014668:1706-2989	-	5.18837	2.16939	7.8098	OK	10.30893377
CUFF.3812	-	-	CUFF.3812	-	-	ENSMODT00000006380	48-1740	ENSMODT00000006380:48-1740	-	5.25896	2.63199	7.56696	OK	10.44919123
CUFF.7455	-	-	CUFF.7455	-	-	ENSMODT00000002170	1990-3570	ENSMODT00000002170:1990-3570	-	5.28257	2.46624	7.75103	OK	10.49610268
CUFF.4527	-	-	CUFF.4527	-	-	ENSMODT00000033568	260-2150	ENSMODT00000033568:260-2150	-	5.30185	2.94532	7.65782	OK	10.53441071
CUFF.3353	-	-	CUFF.3353	-	-	ENSMODT00000015162	1039-3130	ENSMODT00000015162:1039-3130	-	5.32719	2.92841	7.72036	OK	10.58475954
CUFF.6485	-	-	CUFF.6485	-	-	ENSMODT00000019076	133-2635	ENSMODT00000019076:133-2635	-	5.34342	3.33732	7.56459	OK	10.61700744
CUFF.2169	-	-	CUFF.2169	-	-	ENSMODT00000001661	382-2047	ENSMODT00000001661:382-2047	-	5.35656	2.67467	8.024	OK	10.64311571
CUFF.296	-	-	CUFF.296	-	-	ENSMODT00000005150	130-1587	ENSMODT00000005150:130-1587	-	5.35723	2.29237	8.40537	OK	10.64444695
CUFF.3939	-	-	CUFF.3939	-	-	ENSMODT00000000919	684-2342	ENSMODT00000000919:684-2342	-	5.38245	2.68596	8.05788	OK	10.69455736
CUFF.3983	-	-	CUFF.3983	-	-	ENSMODT00000040060	1080-2322	ENSMODT00000040060:1080-2322	-	5.39451	2.241	8.51581	OK	10.71851975
CUFF.4703	-	-	CUFF.4703	-	-	ENSMODT00000012559	96-1432	ENSMODT00000012559:96-1432	-	5.43855	2.49999	8.33331	OK	10.80602419
CUFF.4237	-	-	CUFF.4237	-	-	ENSMODT00000001883	1139-2368	ENSMODT00000001883:1139-2368	-	5.46334	2.26471	8.60588	OK	10.85528021
CUFF.6154	-	-	CUFF.6154	-	-	ENSMODT00000032498	3272-4907	ENSMODT00000032498:3272-4907	-	5.46933	2.72374	8.17123	OK	10.86718193
CUFF.2737	-	-	CUFF.2737	-	-	ENSMODT00000023677	2596-3923	ENSMODT00000023677:2596-3923	-	5.48237	2.51695	8.38982	OK	10.89309151
CUFF.6105	-	-	CUFF.6105	-	-	ENSMODT00000007090	507-2135	ENSMODT00000007090:507-2135	-	5.49634	2.73545	8.20636	OK	10.92084894
CUFF.7650	-	-	CUFF.7650	-	-	ENSMODT00000013768	178-1386	ENSMODT00000013768:178-1386	-	5.57831	2.30408	8.75549	OK	11.08371768
CUFF.128	-	-	CUFF.128	-	-	ENSMODT00000021728	2314-3618	ENSMODT00000021728:2314-3618	-	5.59764	2.56134	8.5378	OK	11.12212506
CUFF.7220	-	-	CUFF.7220	-	-	ENSMODT00000001951	504-2292	ENSMODT00000001951:504-2292	-	5.64458	3.11334	8.09468	OK	11.21539161
CUFF.4599	-	-	CUFF.4599	-	-	ENSMODT00000008469	136-1722	ENSMODT00000008469:136-1722	-	5.66411	2.80789	8.42368	OK	11.25419637
CUFF.237	-	-	CUFF.237	-	-	ENSMODT00000015103	16-1404	ENSMODT00000015103:16-1404	-	5.67104	2.40633	8.82322	OK	11.26796581
CUFF.6449	-	-	CUFF.6449	-	-	ENSMODT00000030943	4356-6230	ENSMODT00000030943:4356-6230	-	5.68739	3.26751	8.3173	OK	11.30045213
CUFF.7296	-	-	CUFF.7296	-	-	ENSMODT00000007468	39-1220	ENSMODT00000007468:39-1220	-	5.73344	2.35675	8.95566	OK	11.39195031
CUFF.6138	-	-	CUFF.6138	-	-	ENSMODT00000004858	2112-3777	ENSMODT00000004858:2112-3777	-	5.73917	3.009	8.35833	OK	11.40333542
CUFF.3081	-	-	CUFF.3081	-	-	ENSMODT00000042155	33-1211	ENSMODT00000042155:33-1211	-	5.75121	2.36275	8.97847	OK	11.42725807
CUFF.1099	-	-	CUFF.1099	-	-	ENSMODT00000025958	2178-3452	ENSMODT00000025958:2178-3452	-	5.75548	2.62166	8.73885	OK	11.43574227
CUFF.4780	-	-	CUFF.4780	-	-	ENSMODT00000014559	1023-2391	ENSMODT00000014559:1023-2391	-	5.769	2.44151	8.95221	OK	11.46260558
CUFF.3620	-	-	CUFF.3620	-	-	ENSMODT00000005267	896-2553	ENSMODT00000005267:896-2553	-	5.7709	3.02353	8.39869	OK	11.46638075
CUFF.1804	-	-	CUFF.1804	-	-	ENSMODT00000021313	167-1437	ENSMODT00000021313:167-1437	-	5.7772	2.62991	8.76638	OK	11.47889841
CUFF.3373	-	-	CUFF.3373	-	-	ENSMODT00000014844	1059-2617	ENSMODT00000014844:1059-2617	-	5.78177	2.85836	8.57507	OK	11.48797869
CUFF.2538	-	-	CUFF.2538	-	-	ENSMODT00000025717	732-2286	ENSMODT00000025717:732-2286	-	5.79898	2.86571	8.59714	OK	11.52217377
CUFF.3457	-	-	CUFF.3457	-	-	ENSMODT00000042950	453-1719	ENSMODT00000042950:453-1719	-	5.79909	2.63822	8.79407	OK	11.52239234
CUFF.4174	-	-	CUFF.4174	-	-	ENSMODT00000015125	2385-4130	ENSMODT00000015125:2385-4130	-	5.80271	3.19006	8.29415	OK	11.52958503
CUFF.2166	-	-	CUFF.2166	-	-	ENSMODT00000019314	188-1549	ENSMODT00000019314:188-1549	-	5.80408	2.45407	8.99826	OK	11.53230712
CUFF.1813	-	-	CUFF.1813	-	-	ENSMODT00000025300	970-2133	ENSMODT00000025300:970-2133	-	5.84174	2.39323	9.09427	OK	11.60713495
CUFF.6242	-	-	CUFF.6242	-	-	ENSMODT00000025004	553-1712	ENSMODT00000025004:553-1712	-	5.86636	2.40149	9.12565	OK	11.65605319
CUFF.1775	-	-	CUFF.1775	-	-	ENSMODT00000021197	105-2023	ENSMODT00000021197:105-2023	-	5.8668	3.19255	8.41673	OK	11.65692744
CUFF.2813	-	-	CUFF.2813	-	-	ENSMODT00000011314	3361-4614	ENSMODT00000011314:3361-4614	-	5.87137	2.66559	8.88531	OK	11.66600772
CUFF.6085	-	-	CUFF.6085	-	-	ENSMODT00000043603	1895-3052	ENSMODT00000043603:1895-3052	-	5.87875	2.40564	9.14143	OK	11.68067127
CUFF.3395	-	-	CUFF.3395	-	-	ENSMODT00000015613	975-2983	ENSMODT00000015613:975-2983	-	5.88274	3.32668	8.31671	OK	11.68859912
CUFF.957	-	-	CUFF.957	-	-	ENSMODT00000005461	490-1738	ENSMODT00000005461:490-1738	-	5.89966	2.67627	8.92091	OK	11.722218
CUFF.4587	-	-	CUFF.4587	-	-	ENSMODT00000008001	1014-2261	ENSMODT00000008001:1014-2261	-	5.90535	2.67842	8.92807	OK	11.73352363
CUFF.4227	-	-	CUFF.4227	-	-	ENSMODT00000038973	1743-3079	ENSMODT00000038973:1743-3079	-	5.93296	2.49999	9.16664	OK	11.7883828
CUFF.7626	-	-	CUFF.7626	-	-	ENSMODT00000018473	1492-2733	ENSMODT00000018473:1492-2733	-	5.93972	2.69137	8.97123	OK	11.80181446
CUFF.5809	-	-	CUFF.5809	-	-	ENSMODT00000033991	2875-4297	ENSMODT00000033991:2875-4297	-	5.97127	2.74026	9.00372	OK	11.86450213
CUFF.5298	-	-	CUFF.5298	-	-	ENSMODT00000000358	2708-3383	ENSMODT00000000358:2708-3383	-	5.9868	1.64938	9.89626	OK	11.89535917
CUFF.3242	-	-	CUFF.3242	-	-	ENSMODT00000036840	144-1562	ENSMODT00000036840:144-1562	-	5.99105	2.74799	9.02912	OK	11.90380363
CUFF.5926	-	-	CUFF.5926	-	-	ENSMODT00000004277	2228-7538	ENSMODT00000004277:2228-7538	-	6.00335	4.403	7.548	OK	11.92824288
